search_event_id,search_role,stream,source_name,source_provider,search_type,query_family_id,protocol_categories,counterexample_focus,exact_query,filters,executed_at,timezone,result_count,result_count_status,captured_result_count,pagination_completeness_boundary,export_capture_method,source_url_or_endpoint,request_url,raw_payload_paths,raw_payload_sha256s,network_status,retrieval_error,peer_checker_id,assistance_mode,notes
P2E1B_OPENALEX_01,PILOT_SEARCH,SCHOLARLY_DISCOVERY,OpenAlex,OurResearch,MULTIDISCIPLINARY_SCHOLARLY_API,QF01_TARGET_INTEGRATION,CAT_01,NOT_APPLICABLE,"""drug target"" (""evidence integration"" OR ""target prioritization"" OR ""heterogeneous evidence"" OR ""data integration"" OR multi-omics)","{""publication_date_from"":""2010-01-01"",""publication_date_to"":""2026-09-03"",""sort"":""relevance_score:desc""}",2026-09-03T03:50:33Z,UTC,39241,SOURCE_EXPOSED_TOTAL,30,FIRST_30_OF_39241_SORT_RELEVANCE;PAGE_1;PER_PAGE_30,OPENALEX_WORKS_API_JSON,https://api.openalex.org/works,https://api.openalex.org/works?search=%22drug+target%22+%28%22evidence+integration%22+OR+%22target+prioritization%22+OR+%22heterogeneous+evidence%22+OR+%22data+integration%22+OR+multi-omics%29&filter=from_publication_date%3A2010-01-01%2Cto_publication_date%3A2026-09-03&per-page=30&page=1&sort=relevance_score%3Adesc,outputs/phase_two/p2_e1_pilot_v0.1/search/raw_retrieval/p2e1b_openalex_01_works.json,038a0a0a013b85f86fc41ee37dec3ebac6fd4236e43625f7991e9b8b04f208eb,SUCCESS,,PENDING,AI_ASSISTED_DISCOVERY,Pilot only; not a production-search denominator.
P2E1B_OPENALEX_02,PILOT_SEARCH,SCHOLARLY_DISCOVERY,OpenAlex,OurResearch,MULTIDISCIPLINARY_SCHOLARLY_API,QF02_OPEN_TARGETS,CAT_02|CAT_01,NOT_APPLICABLE,"""Open Targets Platform"" OR ""Open Targets Genetics""","{""publication_date_from"":""2010-01-01"",""publication_date_to"":""2026-09-03"",""sort"":""relevance_score:desc""}",2026-09-03T03:50:39Z,UTC,2204,SOURCE_EXPOSED_TOTAL,30,FIRST_30_OF_2204_SORT_RELEVANCE;PAGE_1;PER_PAGE_30,OPENALEX_WORKS_API_JSON,https://api.openalex.org/works,https://api.openalex.org/works?search=%22Open+Targets+Platform%22+OR+%22Open+Targets+Genetics%22&filter=from_publication_date%3A2010-01-01%2Cto_publication_date%3A2026-09-03&per-page=30&page=1&sort=relevance_score%3Adesc,outputs/phase_two/p2_e1_pilot_v0.1/search/raw_retrieval/p2e1b_openalex_02_works.json,96f7a6b8098afb20bbb412b255cba9fd02cc485e970cf8f21f1cc07f3151b3f1,SUCCESS,,PENDING,AI_ASSISTED_DISCOVERY,Pilot only; not a production-search denominator.
P2E1B_OPENALEX_03,PILOT_SEARCH,SCHOLARLY_DISCOVERY,OpenAlex,OurResearch,MULTIDISCIPLINARY_SCHOLARLY_API,QF03_KNOWLEDGE_GRAPHS,CAT_03|CAT_01,NOT_APPLICABLE,"(""knowledge graph"" OR ""evidence graph"") (biomedical OR ""drug target"" OR ""target discovery"" OR ""target prioritization"")","{""publication_date_from"":""2010-01-01"",""publication_date_to"":""2026-09-03"",""sort"":""relevance_score:desc""}",2026-09-03T03:50:45Z,UTC,21847,SOURCE_EXPOSED_TOTAL,30,FIRST_30_OF_21847_SORT_RELEVANCE;PAGE_1;PER_PAGE_30,OPENALEX_WORKS_API_JSON,https://api.openalex.org/works,https://api.openalex.org/works?search=%28%22knowledge+graph%22+OR+%22evidence+graph%22%29+%28biomedical+OR+%22drug+target%22+OR+%22target+discovery%22+OR+%22target+prioritization%22%29&filter=from_publication_date%3A2010-01-01%2Cto_publication_date%3A2026-09-03&per-page=30&page=1&sort=relevance_score%3Adesc,outputs/phase_two/p2_e1_pilot_v0.1/search/raw_retrieval/p2e1b_openalex_03_works.json,612c31bd1f82097c6bcfe04c64b0bc58d5b757a67f1bb6a7324307c34c53d2fd,SUCCESS,,PENDING,AI_ASSISTED_DISCOVERY,Pilot only; not a production-search denominator.
P2E1B_OPENALEX_04,PILOT_SEARCH,SCHOLARLY_DISCOVERY,OpenAlex,OurResearch,MULTIDISCIPLINARY_SCHOLARLY_API,QF04_PROVENANCE,CAT_04,NOT_APPLICABLE,"(provenance OR lineage OR attribution OR traceability OR ""source tracking"" OR derivation) (biomedical OR bioinformatics) (integration OR evidence OR database)","{""publication_date_from"":""2010-01-01"",""publication_date_to"":""2026-09-03"",""sort"":""relevance_score:desc""}",2026-09-03T03:50:49Z,UTC,1617172,SOURCE_EXPOSED_TOTAL,30,FIRST_30_OF_1617172_SORT_RELEVANCE;PAGE_1;PER_PAGE_30,OPENALEX_WORKS_API_JSON,https://api.openalex.org/works,https://api.openalex.org/works?search=%28provenance+OR+lineage+OR+attribution+OR+traceability+OR+%22source+tracking%22+OR+derivation%29+%28biomedical+OR+bioinformatics%29+%28integration+OR+evidence+OR+database%29&filter=from_publication_date%3A2010-01-01%2Cto_publication_date%3A2026-09-03&per-page=30&page=1&sort=relevance_score%3Adesc,outputs/phase_two/p2_e1_pilot_v0.1/search/raw_retrieval/p2e1b_openalex_04_works.json,91690d8f0980a6a0780ccb3763d9969c65fe51e090fb1f6f80680ba2ec46c043,SUCCESS,,PENDING,AI_ASSISTED_DISCOVERY,Pilot only; not a production-search denominator.
P2E1B_OPENALEX_05,PILOT_SEARCH,SCHOLARLY_DISCOVERY,OpenAlex,OurResearch,MULTIDISCIPLINARY_SCHOLARLY_API,QF05_EVIDENCE_SYNTHESIS,CAT_05,NOT_APPLICABLE,"(""evidence synthesis"" OR ""evidence assessment"" OR ""systematic review"" OR ""living review"") (software OR platform OR tool OR system) (provenance OR ""missing data"" OR uncertainty OR conflict OR dependence OR ""evidence grading"")","{""publication_date_from"":""2010-01-01"",""publication_date_to"":""2026-09-03"",""sort"":""relevance_score:desc""}",2026-09-03T03:50:55Z,UTC,2793110,SOURCE_EXPOSED_TOTAL,30,FIRST_30_OF_2793110_SORT_RELEVANCE;PAGE_1;PER_PAGE_30,OPENALEX_WORKS_API_JSON,https://api.openalex.org/works,https://api.openalex.org/works?search=%28%22evidence+synthesis%22+OR+%22evidence+assessment%22+OR+%22systematic+review%22+OR+%22living+review%22%29+%28software+OR+platform+OR+tool+OR+system%29+%28provenance+OR+%22missing+data%22+OR+uncertainty+OR+conflict+OR+dependence+OR+%22evidence+grading%22%29&filter=from_publication_date%3A2010-01-01%2Cto_publication_date%3A2026-09-03&per-page=30&page=1&sort=relevance_score%3Adesc,outputs/phase_two/p2_e1_pilot_v0.1/search/raw_retrieval/p2e1b_openalex_05_works.json,71477c41ce58c467e68c46f7cea24fb622b2110dda5c9f2f1234739c457f1282,SUCCESS,,PENDING,AI_ASSISTED_DISCOVERY,Pilot only; not a production-search denominator.
P2E1B_OPENALEX_06,PILOT_SEARCH,SCHOLARLY_DISCOVERY,OpenAlex,OurResearch,MULTIDISCIPLINARY_SCHOLARLY_API,QF06_MISSING_UNCERTAIN_DEPENDENT,CAT_06|CAT_05,NOT_APPLICABLE,"(""missing data"" OR ""data absence"" OR coverage OR ""not observed"" OR ""unavailable evidence"" OR ""incomplete evidence"" OR uncertainty OR conflict OR ""non-independent evidence"" OR ""correlated evidence"" OR ""evidence reuse"" OR ""duplicate evidence"" OR ""shared dataset"" OR ""overlapping cohort"") (""evidence synthesis"" OR ""evidence integration"" OR meta-analysis OR ""knowledge graph"")","{""publication_date_from"":""2010-01-01"",""publication_date_to"":""2026-09-03"",""sort"":""relevance_score:desc""}",2026-09-03T03:51:04Z,UTC,4418611,SOURCE_EXPOSED_TOTAL,30,FIRST_30_OF_4418611_SORT_RELEVANCE;PAGE_1;PER_PAGE_30,OPENALEX_WORKS_API_JSON,https://api.openalex.org/works,https://api.openalex.org/works?search=%28%22missing+data%22+OR+%22data+absence%22+OR+coverage+OR+%22not+observed%22+OR+%22unavailable+evidence%22+OR+%22incomplete+evidence%22+OR+uncertainty+OR+conflict+OR+%22non-independent+evidence%22+OR+%22correlated+evidence%22+OR+%22evidence+reuse%22+OR+%22duplicate+evidence%22+OR+%22shared+dataset%22+OR+%22overlapping+cohort%22%29+%28%22evidence+synthesis%22+OR+%22evidence+integration%22+OR+meta-analysis+OR+%22knowledge+graph%22%29&filter=from_publication_date%3A2010-01-01%2Cto_publication_date%3A2026-09-03&per-page=30&page=1&sort=relevance_score%3Adesc,outputs/phase_two/p2_e1_pilot_v0.1/search/raw_retrieval/p2e1b_openalex_06_works.json,3aaa776b295a6b1633a65510cb7599eae9228d7d49b128bf5530d853f3469886,SUCCESS,,PENDING,AI_ASSISTED_DISCOVERY,Pilot only; not a production-search denominator.
P2E1B_OPENALEX_07,PILOT_SEARCH,SCHOLARLY_DISCOVERY,OpenAlex,OurResearch,MULTIDISCIPLINARY_SCHOLARLY_API,QF07_AI_TARGET_DISCOVERY,CAT_07|CAT_01,NOT_APPLICABLE,"(""drug target discovery"" OR ""therapeutic target discovery"" OR ""target prioritization"" OR ""target identification"") (""artificial intelligence"" OR ""machine learning"" OR ""large language model"" OR ""natural language processing"" OR ""graph neural network"") (evidence OR provenance OR citation OR ""knowledge graph"" OR interpretation)","{""publication_date_from"":""2010-01-01"",""publication_date_to"":""2026-09-03"",""sort"":""relevance_score:desc""}",2026-09-03T03:51:14Z,UTC,12798,SOURCE_EXPOSED_TOTAL,30,FIRST_30_OF_12798_SORT_RELEVANCE;PAGE_1;PER_PAGE_30,OPENALEX_WORKS_API_JSON,https://api.openalex.org/works,https://api.openalex.org/works?search=%28%22drug+target+discovery%22+OR+%22therapeutic+target+discovery%22+OR+%22target+prioritization%22+OR+%22target+identification%22%29+%28%22artificial+intelligence%22+OR+%22machine+learning%22+OR+%22large+language+model%22+OR+%22natural+language+processing%22+OR+%22graph+neural+network%22%29+%28evidence+OR+provenance+OR+citation+OR+%22knowledge+graph%22+OR+interpretation%29&filter=from_publication_date%3A2010-01-01%2Cto_publication_date%3A2026-09-03&per-page=30&page=1&sort=relevance_score%3Adesc,outputs/phase_two/p2_e1_pilot_v0.1/search/raw_retrieval/p2e1b_openalex_07_works.json,5ca63194ed27680e387576414971e09c2910e18c940ca3d93bf1fcb808cb17f9,SUCCESS,,PENDING,AI_ASSISTED_DISCOVERY,Pilot only; not a production-search denominator.
P2E1B_OPENALEX_08,PILOT_SEARCH,SCHOLARLY_DISCOVERY,OpenAlex,OurResearch,MULTIDISCIPLINARY_SCHOLARLY_API,QF08_COUNTER_DEPENDENCY,CAT_06|CAT_05|CAT_01,COUNTEREXAMPLE_DEPENDENCY,"(""non-independent evidence"" OR ""dependent evidence"" OR ""correlated evidence"" OR ""evidence reuse"" OR ""duplicate evidence"" OR ""shared dataset"" OR ""overlapping cohort"") (""evidence synthesis"" OR ""evidence integration"" OR meta-analysis OR framework)","{""publication_date_from"":""2010-01-01"",""publication_date_to"":""2026-09-03"",""sort"":""relevance_score:desc""}",2026-09-03T03:51:20Z,UTC,11293,SOURCE_EXPOSED_TOTAL,30,FIRST_30_OF_11293_SORT_RELEVANCE;PAGE_1;PER_PAGE_30,OPENALEX_WORKS_API_JSON,https://api.openalex.org/works,https://api.openalex.org/works?search=%28%22non-independent+evidence%22+OR+%22dependent+evidence%22+OR+%22correlated+evidence%22+OR+%22evidence+reuse%22+OR+%22duplicate+evidence%22+OR+%22shared+dataset%22+OR+%22overlapping+cohort%22%29+%28%22evidence+synthesis%22+OR+%22evidence+integration%22+OR+meta-analysis+OR+framework%29&filter=from_publication_date%3A2010-01-01%2Cto_publication_date%3A2026-09-03&per-page=30&page=1&sort=relevance_score%3Adesc,outputs/phase_two/p2_e1_pilot_v0.1/search/raw_retrieval/p2e1b_openalex_08_works.json,5eb9f24ff0757a42b28cf9c730ac73589c793147b36fb7f96f19deb37a0512ca,SUCCESS,,PENDING,AI_ASSISTED_DISCOVERY,Pilot only; not a production-search denominator.
P2E1B_OPENALEX_09,PILOT_SEARCH,SCHOLARLY_DISCOVERY,OpenAlex,OurResearch,MULTIDISCIPLINARY_SCHOLARLY_API,QF09_COUNTER_MISSINGNESS,CAT_06|CAT_05,COUNTEREXAMPLE_MISSINGNESS,"(""structured missingness"" OR ""missingness mechanism"" OR ""missing data"" OR ""data absence"" OR ""not observed"" OR ""unavailable evidence"" OR ""incomplete evidence"") (ontology OR ""data model"" OR framework OR ""evidence synthesis"" OR ""knowledge graph"") (biomedical OR clinical OR health)","{""publication_date_from"":""2010-01-01"",""publication_date_to"":""2026-09-03"",""sort"":""relevance_score:desc""}",2026-09-03T03:51:26Z,UTC,3202332,SOURCE_EXPOSED_TOTAL,30,FIRST_30_OF_3202332_SORT_RELEVANCE;PAGE_1;PER_PAGE_30,OPENALEX_WORKS_API_JSON,https://api.openalex.org/works,https://api.openalex.org/works?search=%28%22structured+missingness%22+OR+%22missingness+mechanism%22+OR+%22missing+data%22+OR+%22data+absence%22+OR+%22not+observed%22+OR+%22unavailable+evidence%22+OR+%22incomplete+evidence%22%29+%28ontology+OR+%22data+model%22+OR+framework+OR+%22evidence+synthesis%22+OR+%22knowledge+graph%22%29+%28biomedical+OR+clinical+OR+health%29&filter=from_publication_date%3A2010-01-01%2Cto_publication_date%3A2026-09-03&per-page=30&page=1&sort=relevance_score%3Adesc,outputs/phase_two/p2_e1_pilot_v0.1/search/raw_retrieval/p2e1b_openalex_09_works.json,8321b27e4a6c0d3ec365c9860d745cf5621636ce5a5374fd372eced8759bfe8d,SUCCESS,,PENDING,AI_ASSISTED_DISCOVERY,Pilot only; not a production-search denominator.
P2E1B_OPENALEX_10,PILOT_SEARCH,SCHOLARLY_DISCOVERY,OpenAlex,OurResearch,MULTIDISCIPLINARY_SCHOLARLY_API,QF10_COUNTER_PROVENANCE_AGGREGATION,CAT_04|CAT_03|CAT_01,COUNTEREXAMPLE_PROVENANCE_THROUGH_AGGREGATION,"(provenance OR lineage OR derivation OR traceability OR ""source attribution"") (aggregation OR summarization OR ""evidence integration"" OR ""data integration"") (biomedical OR ""knowledge graph"" OR ""drug target"")","{""publication_date_from"":""2010-01-01"",""publication_date_to"":""2026-09-03"",""sort"":""relevance_score:desc""}",2026-09-03T03:51:34Z,UTC,559389,SOURCE_EXPOSED_TOTAL,30,FIRST_30_OF_559389_SORT_RELEVANCE;PAGE_1;PER_PAGE_30,OPENALEX_WORKS_API_JSON,https://api.openalex.org/works,https://api.openalex.org/works?search=%28provenance+OR+lineage+OR+derivation+OR+traceability+OR+%22source+attribution%22%29+%28aggregation+OR+summarization+OR+%22evidence+integration%22+OR+%22data+integration%22%29+%28biomedical+OR+%22knowledge+graph%22+OR+%22drug+target%22%29&filter=from_publication_date%3A2010-01-01%2Cto_publication_date%3A2026-09-03&per-page=30&page=1&sort=relevance_score%3Adesc,outputs/phase_two/p2_e1_pilot_v0.1/search/raw_retrieval/p2e1b_openalex_10_works.json,38dd8d5f587d1781082d758110a6844fd28bc1291d41a115152a21f5121ef3ff,SUCCESS,,PENDING,AI_ASSISTED_DISCOVERY,Pilot only; not a production-search denominator.
