"metric","value","interpretation"
"original_primary_tumor_normal_expression_records",599,"No selection applied; Primary Tumor plus Solid Tissue Normal only."
"provisional_ffpe_or_ffpe_validation_exclude_candidates",24,"12 current GDC FFPE A277 records plus 12 historical noncanonical FFPE-validation A278 records."
"remaining_candidate_expression_records_before_replicate_resolution",575,"Still includes unresolved duplicate recount3 records for one aliquot."
"remaining_primary_tumor_expression_records",516,"Record count, not yet a final independent-observation count."
"remaining_solid_tissue_normal_expression_records",59,"No normal record is flagged by the current/historical FFPE evidence used here."
"remaining_unique_tcga_sample_barcodes",574,"Conceptual TCGA sample barcode excludes vial and lower biospecimen levels."
"remaining_unique_gdc_sample_ids",574,"GDC sample IDs remaining under this provisional rule."
"remaining_unique_cases",516,"One affected case has no remaining record under this provisional rule."
"remaining_tcga_sample_barcodes_with_multiple_expression_records",1,"The TCGA-38-4625 aliquot still has two recount3 expression records."
"potential_records_after_one_record_per_tcga_sample_resolution",574,"Illustrative only; requires a separate, justified replicate choice."
