component_id,component_name,profile_section,required_evidence_record_roles,acceptable_evidence_types,resolved_state,evaluation_precedence,deterministic_predicate,required_provenance_predicate,missingness_handling,dependency_preservation,state_rationale_requirement
COMP_TRANSCRIPTOMIC_EVIDENCE,Transcriptomic evidence,Biological Discovery Profile,TRANSCRIPT_PRIMARY|TRANSCRIPT_ROBUSTNESS,EV_TCGA_DE_EFFECT|EV_TCGA_DE_SIGNIFICANCE|EV_TCGA_DE_ROBUSTNESS,CONFLICTING,1,The frozen primary and prespecified sensitivity evidence meet the Task #020 material direction-conflict definition or traceable transcript records report incompatible target identities/effects.,TCGA cohort|recount3/gencode_v26|final cohort|design/contrast|S0-S6 analysis versions|record IDs|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Effect, significance, and S1-S6 robustness share the same TCGA cohort and are one dependent evidence family.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_TRANSCRIPTOMIC_EVIDENCE,Transcriptomic evidence,Biological Discovery Profile,TRANSCRIPT_PRIMARY|TRANSCRIPT_ROBUSTNESS,EV_TCGA_DE_EFFECT|EV_TCGA_DE_SIGNIFICANCE|EV_TCGA_DE_ROBUSTNESS,OBSERVED,2,Both primary and robustness records are OBSERVED; primary effect/significance fields are valid; provenance is complete; no prespecified material direction conflict.,TCGA cohort|recount3/gencode_v26|final cohort|design/contrast|S0-S6 analysis versions|record IDs|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Effect, significance, and S1-S6 robustness share the same TCGA cohort and are one dependent evidence family.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_TRANSCRIPTOMIC_EVIDENCE,Transcriptomic evidence,Biological Discovery Profile,TRANSCRIPT_PRIMARY|TRANSCRIPT_ROBUSTNESS,EV_TCGA_DE_EFFECT|EV_TCGA_DE_SIGNIFICANCE|EV_TCGA_DE_ROBUSTNESS,MISSING,3,"Both required transcript record roles were expected and successfully assessed for the target, neither has a qualifying result, no UNKNOWN/failure exists, and no conflict predicate is true.",TCGA cohort|recount3/gencode_v26|final cohort|design/contrast|S0-S6 analysis versions|record IDs|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Effect, significance, and S1-S6 robustness share the same TCGA cohort and are one dependent evidence family.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_TRANSCRIPTOMIC_EVIDENCE,Transcriptomic evidence,Biological Discovery Profile,TRANSCRIPT_PRIMARY|TRANSCRIPT_ROBUSTNESS,EV_TCGA_DE_EFFECT|EV_TCGA_DE_SIGNIFICANCE|EV_TCGA_DE_ROBUSTNESS,PARTIAL,4,"At least one transcript record is observed or assessed, but the companion record, required field, QC/provenance element, or coverage is incomplete; fully queried zero-record and conflict predicates are false.",TCGA cohort|recount3/gencode_v26|final cohort|design/contrast|S0-S6 analysis versions|record IDs|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Effect, significance, and S1-S6 robustness share the same TCGA cohort and are one dependent evidence family.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_TRANSCRIPTOMIC_EVIDENCE,Transcriptomic evidence,Biological Discovery Profile,TRANSCRIPT_PRIMARY|TRANSCRIPT_ROBUSTNESS,EV_TCGA_DE_EFFECT|EV_TCGA_DE_SIGNIFICANCE|EV_TCGA_DE_ROBUSTNESS,NOT_QUERIED,5,Neither transcript role was analyzed for the target under the frozen cohort/design and no eligible claim or record exists.,TCGA cohort|recount3/gencode_v26|final cohort|design/contrast|S0-S6 analysis versions|record IDs|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Effect, significance, and S1-S6 robustness share the same TCGA cohort and are one dependent evidence family.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_DISEASE_ASSOCIATION,Disease association,Biological Discovery Profile,OT_LUAD_ASSOCIATION,EV_OT_LUAD_DIRECT_ASSOCIATION|EV_OT_LUAD_INDIRECT_ASSOCIATION|EV_OT_LITERATURE_COUNT,CONFLICTING,1,"Traceable disease-association records make materially incompatible disease-specific claims under the prespecified comparison rule; direct/indirect overlap alone is dependency, not conflict.",Open Targets release/API|target ID|LUAD disease ID|datasource and publication lineage|query|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Direct, indirect, and literature views share the Open Targets platform and may reuse upstream records.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_DISEASE_ASSOCIATION,Disease association,Biological Discovery Profile,OT_LUAD_ASSOCIATION,EV_OT_LUAD_DIRECT_ASSOCIATION|EV_OT_LUAD_INDIRECT_ASSOCIATION|EV_OT_LITERATURE_COUNT,OBSERVED,2,"A traceable Open Targets LUAD association record contains a returned direct or ontology-qualified association observation, provenance is complete, and no material source conflict is present.",Open Targets release/API|target ID|LUAD disease ID|datasource and publication lineage|query|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Direct, indirect, and literature views share the Open Targets platform and may reuse upstream records.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_DISEASE_ASSOCIATION,Disease association,Biological Discovery Profile,OT_LUAD_ASSOCIATION,EV_OT_LUAD_DIRECT_ASSOCIATION|EV_OT_LUAD_INDIRECT_ASSOCIATION|EV_OT_LITERATURE_COUNT,MISSING,3,"The mapped target was queried for the frozen LUAD disease identifier, retrieval completed, no qualifying association record was returned, and coverage is not UNKNOWN.",Open Targets release/API|target ID|LUAD disease ID|datasource and publication lineage|query|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Direct, indirect, and literature views share the Open Targets platform and may reuse upstream records.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_DISEASE_ASSOCIATION,Disease association,Biological Discovery Profile,OT_LUAD_ASSOCIATION,EV_OT_LUAD_DIRECT_ASSOCIATION|EV_OT_LUAD_INDIRECT_ASSOCIATION|EV_OT_LITERATURE_COUNT,PARTIAL,4,"The target/query is represented but association coverage, datasource lineage, disease specificity, or provenance is incomplete; or only a literature-volume qualifier is available.",Open Targets release/API|target ID|LUAD disease ID|datasource and publication lineage|query|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Direct, indirect, and literature views share the Open Targets platform and may reuse upstream records.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
COMP_DISEASE_ASSOCIATION,Disease association,Biological Discovery Profile,OT_LUAD_ASSOCIATION,EV_OT_LUAD_DIRECT_ASSOCIATION|EV_OT_LUAD_INDIRECT_ASSOCIATION|EV_OT_LITERATURE_COUNT,NOT_QUERIED,5,No valid target mapping/query was performed for the LUAD disease identifier and no association assessment exists.,Open Targets release/API|target ID|LUAD disease ID|datasource and publication lineage|query|artifact hashes,Copy source missingness exactly. NOT_FOUND may support MISSING only after complete defined queries; NOT_QUERIED never becomes MISSING; UNKNOWN prevents OBSERVED/MISSING and resolves PARTIAL when any assessment exists.,"Direct, indirect, and literature views share the Open Targets platform and may reuse upstream records.","Name the satisfied predicate, linked claim/record/source IDs, query coverage, provenance status, conflict rule, and all unresolved uncertainty; do not state biological or therapeutic conclusions."
