source_identifier,title,exclusion_reason,disease_specificity_issue,evidence_type_issue,duplicate_status,provenance_issue
37287543,BrcaDx: precise identification of breast cancer from expression data using a minimal set of features.,Breast-cancer primary study; no LUAD-resolved biological result,Breast-cancer primary study; no LUAD-resolved biological result,NO_INCLUDED_PRIMARY_OR_BOUNDED_LUAD_EVIDENCE_UNIT,NOT_DUPLICATE,NONE_IDENTIFIED
10561218,Expression and prognostic significance of metalloproteinases and their tissue inhibitors in patients with small-cell lung cancer.,Small-cell lung cancer study; outside NSCLC/LUAD scope,Small-cell lung cancer study; outside NSCLC/LUAD scope,NO_INCLUDED_PRIMARY_OR_BOUNDED_LUAD_EVIDENCE_UNIT,NOT_DUPLICATE,NONE_IDENTIFIED
8683934,Changes in the expression of matrix proteases and of the transcription factor c-Ets-1 during progression of precancerous bronchial lesions.,Bronchial preinvasive/squamous-lesion context without LUAD result,Bronchial preinvasive/squamous-lesion context without LUAD result,NO_INCLUDED_PRIMARY_OR_BOUNDED_LUAD_EVIDENCE_UNIT,NOT_DUPLICATE,NONE_IDENTIFIED
33836753,LINC00221 silencing prevents the progression of hepatocellular carcinoma through let-7a-5p-targeted inhibition of MMP11.,Non-LUAD primary study that cites the 2019 LUAD publication,Non-LUAD primary study that cites the 2019 LUAD publication,NO_INCLUDED_PRIMARY_OR_BOUNDED_LUAD_EVIDENCE_UNIT,NOT_DUPLICATE,NONE_IDENTIFIED
37543577,Spatial tumour gene signature discriminates neoplastic from non-neoplastic compartments in colon cancer: unravelling predictive biomarkers for relapse.,Contextual/review record without independently traceable LUAD experiment,Contextual/review record without independently traceable LUAD experiment,NO_INCLUDED_PRIMARY_OR_BOUNDED_LUAD_EVIDENCE_UNIT,NOT_DUPLICATE,NONE_IDENTIFIED
39239548,Matrix Metalloproteinase 11 Promotes Migration and Invasion of Colorectal Cancer by Elevating Slug Protein.,Colorectal-cancer primary context; citation overlap only,Colorectal-cancer primary context; citation overlap only,NO_INCLUDED_PRIMARY_OR_BOUNDED_LUAD_EVIDENCE_UNIT,NOT_DUPLICATE,NONE_IDENTIFIED
40977645,Transcription factor 3 enhances hepatocellular carcinoma metastasis by upregulating matrix metalloproteinase-11.,Non-LUAD primary context; citation overlap only,Non-LUAD primary context; citation overlap only,NO_INCLUDED_PRIMARY_OR_BOUNDED_LUAD_EVIDENCE_UNIT,NOT_DUPLICATE,NONE_IDENTIFIED
NCT04001816,A Randomized Clinical Trial to Investigate Whether Self Ligating Brackets or Conventional Brackets Are Better for Treating Bimaxillary Proclination,Orthodontic bracket trial; lexical query false positive and no MMP11 intervention or biomarker.,NO_MMP11_LUAD_CLINICAL_DEVELOPMENT_CONTEXT,CLINICALTRIALS_QUERY_FALSE_POSITIVE,NOT_DUPLICATE,NONE_IDENTIFIED
NCT07329179,Crestal Sinus Lifting Using Densah Burs Versus Lateral Window Technique at Residual Alveolar Ridge Height 3-5 mm With Simultaneous Implant Placement,Dental sinus-lifting trial; lexical query false positive and no MMP11 intervention or biomarker.,NO_MMP11_LUAD_CLINICAL_DEVELOPMENT_CONTEXT,CLINICALTRIALS_QUERY_FALSE_POSITIVE,NOT_DUPLICATE,NONE_IDENTIFIED
NCT04043013,Influence of Four Orthodontic Bracket Prescriptions in Arch Width and Torque,Orthodontic bracket-prescription trial; lexical query false positive and no MMP11 intervention or biomarker.,NO_MMP11_LUAD_CLINICAL_DEVELOPMENT_CONTEXT,CLINICALTRIALS_QUERY_FALSE_POSITIVE,NOT_DUPLICATE,NONE_IDENTIFIED
NCT05414370,Hyperoxia Induced Pulmonary Inflammation and Organ Injury: a Human in Vivo Model,Hyperoxia/pulmonary-inflammation study; no MMP11 intervention or biomarker in the registered record.,NO_MMP11_LUAD_CLINICAL_DEVELOPMENT_CONTEXT,CLINICALTRIALS_QUERY_FALSE_POSITIVE,NOT_DUPLICATE,NONE_IDENTIFIED
NCT01472445,Vitamin D and Breast Cancer: Does Weight Make a Difference?,Breast-cancer vitamin-D study; no MMP11 intervention or biomarker in the registered record.,NO_MMP11_LUAD_CLINICAL_DEVELOPMENT_CONTEXT,CLINICALTRIALS_QUERY_FALSE_POSITIVE,NOT_DUPLICATE,NONE_IDENTIFIED
