feature_name,feature_category,data_type,allowed_values,source_fields,source_record_roles,extraction_rule_id,extractor_version,deterministic_extraction_rule,missingness_handling,interpretation_boundary,task025_input
transcriptomic_record_available,EVIDENCE_AVAILABILITY,CONTROLLED_MISSINGNESS_STATE,OBSERVED|NOT_FOUND|NOT_QUERIED|NOT_APPLICABLE|UNKNOWN,missingness_status,TRANSCRIPT_PRIMARY|TRANSCRIPT_ROBUSTNESS,TXR_TRANSCRIPT_RECORD_AVAILABLE_V0_1,TRANSCRIPTOMIC_FEATURE_EXTRACTOR_V0.1,OBSERVED iff both required transcript records are OBSERVED; otherwise preserve the source missingness boundary without converting absence into negative evidence.,Preserve OBSERVED/NOT_FOUND/NOT_QUERIED/NOT_APPLICABLE/UNKNOWN; never convert NOT_FOUND to negative evidence or NOT_QUERIED to biological absence.,"Evidence-record availability only; not evidence strength, biological importance, or therapeutic relevance.",FALSE
primary_DE_result_available,EVIDENCE_AVAILABILITY,CONTROLLED_MISSINGNESS_STATE,OBSERVED|NOT_FOUND|NOT_QUERIED|NOT_APPLICABLE|UNKNOWN,U0_tested|missingness_status|observation_status,TRANSCRIPT_PRIMARY,TXR_PRIMARY_RESULT_AVAILABLE_V0_1,TRANSCRIPTOMIC_FEATURE_EXTRACTOR_V0.1,"OBSERVED iff the frozen primary record is OBSERVED, reports PRIMARY_ANALYSIS_RESULT_PRESENT, and U0_tested is TRUE.",Preserve OBSERVED/NOT_FOUND/NOT_QUERIED/NOT_APPLICABLE/UNKNOWN; never convert NOT_FOUND to negative evidence or NOT_QUERIED to biological absence.,Presence of a tested primary DE result; not a statement that the FDR or effect threshold was met.,FALSE
sensitivity_results_available,EVIDENCE_AVAILABILITY,CONTROLLED_MISSINGNESS_STATE,OBSERVED|NOT_FOUND|NOT_QUERIED|NOT_APPLICABLE|UNKNOWN,logFC_S1|FDR_S1|logFC_S2|FDR_S2|logFC_S3|FDR_S3|logFC_S4|FDR_S4|logFC_S5|FDR_S5|logFC_S6|FDR_S6|missingness_status,TRANSCRIPT_ROBUSTNESS,TXR_SENSITIVITY_RESULTS_AVAILABLE_V0_1,TRANSCRIPTOMIC_FEATURE_EXTRACTOR_V0.1,OBSERVED iff the frozen robustness record is OBSERVED and all S1-S6 logFC/FDR pairs are present and valid.,Preserve OBSERVED/NOT_FOUND/NOT_QUERIED/NOT_APPLICABLE/UNKNOWN; never convert NOT_FOUND to negative evidence or NOT_QUERIED to biological absence.,Availability of prespecified related model results; not independent replication.,FALSE
effect_direction_observed,OBSERVED_EXPRESSION_CHARACTERISTIC,CONTROLLED_CATEGORY,TUMOR_HIGHER|TUMOR_LOWER|NO_EFFECT|UNKNOWN,logFC_S0|sign_S0,TRANSCRIPT_PRIMARY,TXR_PRIMARY_EFFECT_DIRECTION_V0_1,TRANSCRIPTOMIC_FEATURE_EXTRACTOR_V0.1,Map frozen sign_S0 UP/DOWN/ZERO to TUMOR_HIGHER/TUMOR_LOWER/NO_EFFECT; otherwise UNKNOWN.,Preserve OBSERVED/NOT_FOUND/NOT_QUERIED/NOT_APPLICABLE/UNKNOWN; never convert NOT_FOUND to negative evidence or NOT_QUERIED to biological absence.,Statistical tumour-minus-normal direction only; it does not imply biological or therapeutic direction.,FALSE
fdr_threshold_version,STATISTICAL_OBSERVATION_STATUS,VERSION_IDENTIFIER,TASK008_U1_BH_FDR_LT_0_05_V0_1,U1_DE|FDR_S0,TRANSCRIPT_PRIMARY,TXR_FDR_THRESHOLD_VERSION_V0_1,TRANSCRIPTOMIC_FEATURE_EXTRACTOR_V0.1,Emit the frozen Task #008 U1 threshold identifier after verifying U1_DE equals FDR_S0 < 0.05.,Preserve OBSERVED/NOT_FOUND/NOT_QUERIED/NOT_APPLICABLE/UNKNOWN; never convert NOT_FOUND to negative evidence or NOT_QUERIED to biological absence.,Versioned statistical candidate-generation threshold; not a therapeutic decision threshold.,FALSE
fdr_pass_status,STATISTICAL_OBSERVATION_STATUS,CONTROLLED_CATEGORY,THRESHOLD_MET|THRESHOLD_NOT_MET|UNKNOWN,U1_DE|FDR_S0,TRANSCRIPT_PRIMARY,TXR_FDR_PASS_STATUS_V0_1,TRANSCRIPTOMIC_FEATURE_EXTRACTOR_V0.1,THRESHOLD_MET iff frozen U1_DE is TRUE; THRESHOLD_NOT_MET iff FALSE; UNKNOWN only when the frozen observation is unavailable.,Preserve OBSERVED/NOT_FOUND/NOT_QUERIED/NOT_APPLICABLE/UNKNOWN; never convert NOT_FOUND to negative evidence or NOT_QUERIED to biological absence.,Describes the frozen BH FDR threshold result only; THRESHOLD_NOT_MET is not negative biological evidence.,FALSE
effect_threshold_version,STATISTICAL_OBSERVATION_STATUS,VERSION_IDENTIFIER,TASK008_ABS_LOGFC_GE_0_5_V0_1,U2_effect_supported_DE|logFC_S0,TRANSCRIPT_PRIMARY,TXR_EFFECT_THRESHOLD_VERSION_V0_1,TRANSCRIPTOMIC_FEATURE_EXTRACTOR_V0.1,Emit the frozen Task #008 absolute logFC threshold identifier after verifying U2 membership semantics.,Preserve OBSERVED/NOT_FOUND/NOT_QUERIED/NOT_APPLICABLE/UNKNOWN; never convert NOT_FOUND to negative evidence or NOT_QUERIED to biological absence.,Versioned descriptive effect threshold; not target quality or therapeutic relevance.,FALSE
effect_threshold_status,STATISTICAL_OBSERVATION_STATUS,CONTROLLED_CATEGORY,THRESHOLD_MET|THRESHOLD_NOT_MET|UNKNOWN,logFC_S0,TRANSCRIPT_PRIMARY,TXR_EFFECT_THRESHOLD_STATUS_V0_1,TRANSCRIPTOMIC_FEATURE_EXTRACTOR_V0.1,THRESHOLD_MET iff abs(logFC_S0) >= 0.5; otherwise THRESHOLD_NOT_MET; UNKNOWN only when unavailable.,Preserve OBSERVED/NOT_FOUND/NOT_QUERIED/NOT_APPLICABLE/UNKNOWN; never convert NOT_FOUND to negative evidence or NOT_QUERIED to biological absence.,Observed effect-size threshold status only; it does not establish causality or actionability.,FALSE
sensitivity_model_count_available,SENSITIVITY_STRUCTURE,NONNEGATIVE_INTEGER,0..6,logFC_S1|FDR_S1|logFC_S2|FDR_S2|logFC_S3|FDR_S3|logFC_S4|FDR_S4|logFC_S5|FDR_S5|logFC_S6|FDR_S6,TRANSCRIPT_ROBUSTNESS,TXR_SENSITIVITY_MODEL_COUNT_V0_1,TRANSCRIPTOMIC_FEATURE_EXTRACTOR_V0.1,"Count S1-S6 models having both a finite logFC and an FDR in [0,1].",Preserve OBSERVED/NOT_FOUND/NOT_QUERIED/NOT_APPLICABLE/UNKNOWN; never convert NOT_FOUND to negative evidence or NOT_QUERIED to biological absence.,"Availability count is audit metadata, not evidence quality or a confidence measure.",FALSE
sensitivity_direction_pattern,SENSITIVITY_STRUCTURE,CONTROLLED_CATEGORY,TUMOR_HIGHER_ONLY|TUMOR_LOWER_ONLY|NO_EFFECT_ONLY|MIXED_DIRECTION|NOT_AVAILABLE|UNKNOWN,logFC_S1|logFC_S2|logFC_S3|logFC_S4|logFC_S5|logFC_S6,TRANSCRIPT_ROBUSTNESS,TXR_SENSITIVITY_DIRECTION_PATTERN_V0_1,TRANSCRIPTOMIC_FEATURE_EXTRACTOR_V0.1,Classify the set of observed S1-S6 logFC signs without weighting or aggregation.,Preserve OBSERVED/NOT_FOUND/NOT_QUERIED/NOT_APPLICABLE/UNKNOWN; never convert NOT_FOUND to negative evidence or NOT_QUERIED to biological absence.,Pattern of related model directions; not therapeutic direction or independent confirmation.,FALSE
sensitivity_consistency_category,SENSITIVITY_STRUCTURE,CONTROLLED_CATEGORY,CONSISTENT_DIRECTION|MIXED_DIRECTION|NOT_AVAILABLE|UNKNOWN,sign_S0|logFC_S1|logFC_S2|logFC_S3|logFC_S4|logFC_S5|logFC_S6|sign_concordant_all_S1_S6,TRANSCRIPT_PRIMARY|TRANSCRIPT_ROBUSTNESS,TXR_SENSITIVITY_CONSISTENCY_V0_1,TRANSCRIPTOMIC_FEATURE_EXTRACTOR_V0.1,CONSISTENT_DIRECTION iff all six sensitivity signs equal sign_S0; otherwise MIXED_DIRECTION when all are available.,Preserve OBSERVED/NOT_FOUND/NOT_QUERIED/NOT_APPLICABLE/UNKNOWN; never convert NOT_FOUND to negative evidence or NOT_QUERIED to biological absence.,"Directional consistency across related model views; no robustness, stability, or confidence score is produced.",FALSE
identity_conflict_count,TASK025_EVALUATOR_INPUT,NONNEGATIVE_INTEGER,0..N,claim/record/source/dependency lineage plus frozen transcript fields,TRANSCRIPT_PRIMARY|TRANSCRIPT_ROBUSTNESS,TXR_IDENTITY_CONFLICT_COUNT_V0_1,TRANSCRIPTOMIC_FEATURE_EXTRACTOR_V0.1,"Count traceable EnsemblID mismatches across the integrated row, claim, source-record identifier, and raw-value reference.",Preserve OBSERVED/NOT_FOUND/NOT_QUERIED/NOT_APPLICABLE/UNKNOWN; never convert NOT_FOUND to negative evidence or NOT_QUERIED to biological absence.,Identity reconciliation only; current frozen inputs must yield zero.,TRUE
provenance_complete,TASK025_EVALUATOR_INPUT,BOOLEAN,TRUE|FALSE,claim/record/source/dependency lineage plus frozen transcript fields,TRANSCRIPT_PRIMARY|TRANSCRIPT_ROBUSTNESS,TXR_PROVENANCE_COMPLETE_V0_1,TRANSCRIPTOMIC_FEATURE_EXTRACTOR_V0.1,"TRUE iff claim, both records, source/version, artifact/hash, raw references, ontology, and dependency lineage resolve.",Preserve OBSERVED/NOT_FOUND/NOT_QUERIED/NOT_APPLICABLE/UNKNOWN; never convert NOT_FOUND to negative evidence or NOT_QUERIED to biological absence.,Completeness of lineage only; not evidence quality.,TRUE
transcript_conflict_count,TASK025_EVALUATOR_INPUT,NONNEGATIVE_INTEGER,0..N,claim/record/source/dependency lineage plus frozen transcript fields,TRANSCRIPT_PRIMARY|TRANSCRIPT_ROBUSTNESS,TXR_TRANSCRIPT_CONFLICT_COUNT_V0_1,TRANSCRIPTOMIC_FEATURE_EXTRACTOR_V0.1,Count the frozen Task #014 transcript conflict assertion as one structural condition when uncertainty_status is CONFLICTING_RECORDS.,Preserve OBSERVED/NOT_FOUND/NOT_QUERIED/NOT_APPLICABLE/UNKNOWN; never convert NOT_FOUND to negative evidence or NOT_QUERIED to biological absence.,Preserves a prespecified direction conflict; it does not interpret biology.,TRUE
transcript_qualifying_record_count,TASK025_EVALUATOR_INPUT,NONNEGATIVE_INTEGER,0..2,claim/record/source/dependency lineage plus frozen transcript fields,TRANSCRIPT_PRIMARY|TRANSCRIPT_ROBUSTNESS,TXR_TRANSCRIPT_QUALIFYING_RECORD_COUNT_V0_1,TRANSCRIPTOMIC_FEATURE_EXTRACTOR_V0.1,Count required primary/robustness roles that are OBSERVED and have their required valid fields.,Preserve OBSERVED/NOT_FOUND/NOT_QUERIED/NOT_APPLICABLE/UNKNOWN; never convert NOT_FOUND to negative evidence or NOT_QUERIED to biological absence.,Audit record count only; records share a cohort and are not independent votes.,TRUE
transcript_observed_context_complete,TASK025_EVALUATOR_INPUT,BOOLEAN,TRUE|FALSE,claim/record/source/dependency lineage plus frozen transcript fields,TRANSCRIPT_PRIMARY|TRANSCRIPT_ROBUSTNESS,TXR_TRANSCRIPT_CONTEXT_COMPLETE_V0_1,TRANSCRIPTOMIC_FEATURE_EXTRACTOR_V0.1,TRUE iff both roles qualify and frozen cohort/design/source/dependency provenance is complete.,Preserve OBSERVED/NOT_FOUND/NOT_QUERIED/NOT_APPLICABLE/UNKNOWN; never convert NOT_FOUND to negative evidence or NOT_QUERIED to biological absence.,Context completeness only; not profile state or target quality.,TRUE
transcript_assessment_attempted,TASK025_EVALUATOR_INPUT,BOOLEAN,TRUE|FALSE,claim/record/source/dependency lineage plus frozen transcript fields,TRANSCRIPT_PRIMARY|TRANSCRIPT_ROBUSTNESS,TXR_TRANSCRIPT_ASSESSMENT_ATTEMPTED_V0_1,TRANSCRIPTOMIC_FEATURE_EXTRACTOR_V0.1,TRUE iff a frozen transcriptomic claim and at least one required record role exist for the EnsemblID.,Preserve OBSERVED/NOT_FOUND/NOT_QUERIED/NOT_APPLICABLE/UNKNOWN; never convert NOT_FOUND to negative evidence or NOT_QUERIED to biological absence.,Assessment execution metadata only.,TRUE
transcript_query_scope_complete,TASK025_EVALUATOR_INPUT,BOOLEAN,TRUE|FALSE,claim/record/source/dependency lineage plus frozen transcript fields,TRANSCRIPT_PRIMARY|TRANSCRIPT_ROBUSTNESS,TXR_TRANSCRIPT_SCOPE_COMPLETE_V0_1,TRANSCRIPTOMIC_FEATURE_EXTRACTOR_V0.1,TRUE iff both required record roles exist and neither has unresolved query coverage or retrieval failure.,Preserve OBSERVED/NOT_FOUND/NOT_QUERIED/NOT_APPLICABLE/UNKNOWN; never convert NOT_FOUND to negative evidence or NOT_QUERIED to biological absence.,Coverage metadata only; no biological absence inference.,TRUE
transcript_record_count,TASK025_EVALUATOR_INPUT,NONNEGATIVE_INTEGER,0..2,claim/record/source/dependency lineage plus frozen transcript fields,TRANSCRIPT_PRIMARY|TRANSCRIPT_ROBUSTNESS,TXR_TRANSCRIPT_RECORD_COUNT_V0_1,TRANSCRIPTOMIC_FEATURE_EXTRACTOR_V0.1,Count atomic TRANSCRIPT_PRIMARY and TRANSCRIPT_ROBUSTNESS records before state evaluation.,Preserve OBSERVED/NOT_FOUND/NOT_QUERIED/NOT_APPLICABLE/UNKNOWN; never convert NOT_FOUND to negative evidence or NOT_QUERIED to biological absence.,Audit count only; never a confidence measure.,TRUE
transcript_partial_condition_count,TASK025_EVALUATOR_INPUT,NONNEGATIVE_INTEGER,0..N,claim/record/source/dependency lineage plus frozen transcript fields,TRANSCRIPT_PRIMARY|TRANSCRIPT_ROBUSTNESS,TXR_TRANSCRIPT_PARTIAL_CONDITION_COUNT_V0_1,TRANSCRIPTOMIC_FEATURE_EXTRACTOR_V0.1,"Count missing roles, invalid required fields, incomplete provenance, unknown coverage, or retrieval-failure conditions.",Preserve OBSERVED/NOT_FOUND/NOT_QUERIED/NOT_APPLICABLE/UNKNOWN; never convert NOT_FOUND to negative evidence or NOT_QUERIED to biological absence.,Structural incompleteness count only; not a score.,TRUE
