gap_category_group,gap_category,evidence_layer,additional_evidence_class,affected_gene_count,affected_gene_percent,scientific_question,potential_data_source_class,acquisition_unit,required_identifier_keys,minimum_provenance_fields,evidence_quality_checks,dependency_control,uncertainty_reduced,adequacy_criterion,interpretation_boundary
MISSING_EVIDENCE_DOMAIN,LUAD_DISEASE_ASSOCIATION,DISCOVERY,LUAD_DISEASE_ASSOCIATION_DATASOURCE_DETAIL,21200,71.607107,Which specific source records support or fail to support the target-LUAD association?,record-level disease-association database evidence and source literature,source-level target-disease association record,EnsemblID|disease_identifier|source_record_identifier,source_name|source_release|record_identifier|query|retrieved_at|upstream_reference,disease-identifier specificity|record traceability|duplicate-source detection,Deduplicate publications and upstream records already represented in Open Targets.,SOURCE_LIMITATION|DEPENDENCY_UNCERTAIN,At least one traceable LUAD-specific source record or an explicit source-specific NOT_FOUND result.,Association evidence does not by itself identify a causal mechanism.
MISSING_EVIDENCE_DOMAIN,GENETIC_EVIDENCE,MECHANISTIC,CANCER_GENETIC_EVIDENCE,29606,100.000000,Do tumour-acquired or inherited genetic observations support a causal role in LUAD biology?,somatic mutation/copy-number and germline association datasets,variant/alteration-to-gene disease record,EnsemblID|disease_identifier|alteration_identifier|study_identifier,source_name|source_release|study_identifier|cohort|alteration_type|retrieved_at,LUAD cohort specificity|alteration definition|sample overlap|statistical provenance,Determine whether genetic and expression evidence share TCGA cases or Open Targets source records.,INCOMPLETE_COVERAGE|SOURCE_LIMITATION,Traceable LUAD-relevant alteration evidence or an explicit queried NOT_FOUND state with coverage recorded.,Genetic association or alteration does not automatically predict pharmacological modulation.
MISSING_EVIDENCE_DOMAIN,FUNCTIONAL_DEPENDENCY,MECHANISTIC,CRISPR_FUNCTIONAL_DEPENDENCY,29606,100.000000,Does target perturbation affect LUAD-relevant cancer-cell fitness?,CRISPR dependency and cancer-cell fitness datasets,gene-by-model dependency observation,EnsemblID|model_identifier|screen_identifier,source_name|release|screen_identifier|model_lineage|assay_method|retrieved_at,LUAD model annotation|guide quality|screen QC|replicate support|context specificity,"Track cell-line lineage, assay version, guide quality, and overlap with external aggregators.",INCOMPLETE_COVERAGE|SOURCE_LIMITATION,Model-level dependency values with screen provenance and explicit LUAD model coverage.,Cell-line dependency does not establish patient benefit or safe therapeutic direction.
MISSING_EVIDENCE_DOMAIN,PERTURBATIONAL_EVIDENCE,MECHANISTIC,PERTURBATIONAL_MECHANISM,29606,100.000000,Does controlled modulation change a LUAD-relevant phenotype in the expected direction?,genetic or pharmacological perturbation experiments,target perturbation-by-model phenotype observation,EnsemblID|perturbation_identifier|model_identifier|experiment_identifier,source_name|experiment_identifier|perturbation_type|model|endpoint|publication|retrieved_at,control adequacy|target engagement|replication|dose/time context|phenotype specificity,"Separate independent experiments from reused cell lines, compounds, and publications.",SOURCE_LIMITATION|CONFLICTING_RECORDS,"Controlled, traceable perturbation observations or an explicit assessment that qualifying records were not found.",Model-specific perturbation results require replication and direction-of-action review.
MISSING_EVIDENCE_DOMAIN,PHARMACOLOGY,DEVELOPMENT,COMPOUND_ACTIVITY_POTENCY_MECHANISM,23637,79.838546,Are there selective compounds with interpretable potency and mechanism against the target?,compound-target activity databases and primary assay records,compound-target assay or mechanism record,EnsemblID|compound_identifier|assay_identifier|target_record_identifier,source_name|release|compound_identifier|assay_identifier|mechanism_identifier|retrieved_at,target confidence|assay type|potency units|selectivity|mechanism consistency|duplicate detection,"Deduplicate assays, compounds, mechanisms, and ChEMBL/Open Targets overlap.",INCOMPLETE_COVERAGE|DEPENDENCY_UNCERTAIN,"Record-level activity/mechanism evidence with target confidence and assay provenance, or explicit NOT_FOUND.","Activity records do not prove efficacy, selectivity in vivo, or LUAD relevance."
MISSING_EVIDENCE_DOMAIN,TRACTABILITY,DEVELOPMENT,MODALITY_SPECIFIC_TRACTABILITY,12712,42.937242,Which therapeutic modalities have direct feasibility evidence for the target?,"structural, ligandability, antibody-accessibility, and degrader evidence",target-by-modality tractability assessment,EnsemblID|modality|assessment_identifier,source_name|release|assessment_identifier|modality|evidence_bucket|retrieved_at,modality definition|evidence-bucket traceability|structural/ligand evidence provenance,Identify ChEMBL and clinical-precedence records reused by tractability frameworks.,INCOMPLETE_COVERAGE|SOURCE_LIMITATION,At least one traceable modality assessment or an explicit NOT_FOUND result for every assessed modality.,Tractability does not establish biological appropriateness or clinical success.
MISSING_EVIDENCE_DOMAIN,CLINICAL_DEVELOPMENT,DEVELOPMENT,TRIAL_LEVEL_CLINICAL_DEVELOPMENT,29606,100.000000,"Has target modulation reached human investigation, for which intervention and disease context?",clinical trial registries and curated development records,trial-intervention-target-disease linkage,EnsemblID|trial_identifier|intervention_identifier|disease_identifier,registry|trial_identifier|record_version|intervention|phase|status|retrieved_at,target-linkage basis|disease relevance|intervention identity|trial deduplication|status currency,"Deduplicate trials, interventions, sponsors, and Open Targets clinical-precedence records.",INCOMPLETE_COVERAGE|TEMPORAL_UNCERTAINTY,Traceable trial-level target linkage or a dated registry search with explicit NOT_FOUND semantics.,"Clinical investigation is development precedent, not proof of target validity or efficacy."
MISSING_EVIDENCE_DOMAIN,NORMAL_TISSUE_CONTEXT,RISK,NORMAL_TISSUE_EXPRESSION,29606,100.000000,Where is the target normally expressed and what physiological exposure context exists?,normal tissue expression and protein-localization datasets,gene-by-tissue/cell-type expression observation,EnsemblID|tissue_identifier|cell_type_identifier|dataset_identifier,source_name|release|dataset_identifier|tissue|cell_type|assay|retrieved_at,tissue/cell specificity|donor coverage|assay comparability|RNA/protein distinction,"Track tissue, cell-type, assay, donor, and protein-versus-RNA measurement lineage.",INCOMPLETE_COVERAGE|SOURCE_LIMITATION,Traceable normal-tissue or cell-type measurements with coverage and missingness documented.,Normal expression suggests context for investigation but does not prove toxicity.
MISSING_EVIDENCE_DOMAIN,ESSENTIALITY,RISK,ESSENTIALITY_GENETIC_CONSTRAINT,29606,100.000000,"Is target loss tolerated, and is essentiality context-specific?",human genetic constraint and normal/cancer essentiality datasets,gene-by-context essentiality or constraint observation,EnsemblID|context_identifier|metric_identifier|source_record_identifier,source_name|release|context|metric|population/model|retrieved_at,metric definition|population/model coverage|normal/cancer context separation|version traceability,"Separate germline constraint, normal-cell essentiality, and cancer dependency lineages.",INCOMPLETE_COVERAGE|SOURCE_LIMITATION,Context-specific essentiality/constraint measurements or explicit coverage-aware NOT_FOUND states.,Genetic intolerance does not directly quantify pharmacological safety or dose tolerance.
MISSING_EVIDENCE_DOMAIN,SAFETY_LIABILITY,RISK,TARGET_SAFETY_LIABILITY,28708,96.966831,What on-target or compound-related toxicity observations exist and in what exposure context?,"curated safety databases, toxicology assays, adverse-event data, and literature",target-liability evidence record,EnsemblID|liability_identifier|source_record_identifier,source_name|release|record_identifier|liability_type|evidence_reference|retrieved_at,on-target attribution|human relevance|evidence type|record deduplication|causality boundary,"Separate on-target from off-target effects and deduplicate reports, studies, compounds, and publications.",INCOMPLETE_COVERAGE|TEMPORAL_UNCERTAINTY|SOURCE_LIMITATION,"Traceable target-liability records or a dated, source-bounded NOT_FOUND result.",Adverse-event associations and report counts do not automatically establish causality.
