evidence_type,evidence_domain,claim_architecture_state,what_it_supports,what_it_does_not_support,additional_evidence_required,provenance_requirement,dependency_warning
EV_TCGA_DE_EFFECT,DOM_TRANSCRIPTOMIC_DISCOVERY,CURRENT_BOUNDED_CLAIM_ARCHITECTURE,Direction and magnitude of a tumour-versus-normal RNA-expression association in the frozen TCGA-LUAD cohort.,"Biological causality, cancer-cell dependency, therapeutic mechanism, drug efficacy, or intervention direction.",Independent LUAD expression replication plus genetic or controlled perturbational evidence for causal interpretation.,Cohort definition|gene annotation|count processing|design and contrast|effect estimate|analysis commit,"Shares the TCGA cohort and primary model with significance statistics; S1-S6 are related reanalyses, not independent replication."
EV_TCGA_DE_SIGNIFICANCE,DOM_TRANSCRIPTOMIC_DISCOVERY,CURRENT_BOUNDED_CLAIM_ARCHITECTURE,Statistical evidence against the fitted model's null contrast after its stated multiple-testing procedure.,"Biological importance, effect magnitude, causality, replication, druggability, or clinical relevance.","Effect magnitude, model diagnostics, independent replication, and mechanistic evidence.",Cohort and design|contrast|test procedure|multiple-testing method|tested gene universe|analysis commit,"Derived from the same samples and model as the effect estimate; significance and effect are complementary fields, not separate votes."
EV_TCGA_DE_ROBUSTNESS,DOM_TRANSCRIPTOMIC_DISCOVERY,CURRENT_BOUNDED_CLAIM_ARCHITECTURE,Sensitivity of the TCGA-LUAD expression result to prespecified related model specifications.,"Independent biological replication, absence of bias, causality, efficacy, or clinical robustness.",Independent-cohort replication and orthogonal biological validation.,Shared frozen cohort|S0-S6 model definitions|contrast consistency|residual degrees of freedom|analysis commits,All robustness models reuse the same frozen expression cohort and cannot be counted as independent datasets.
EV_OT_LUAD_DIRECT_ASSOCIATION,DOM_DISEASE_ASSOCIATION,CURRENT_BOUNDED_CLAIM_ARCHITECTURE,A source-native Open Targets association view directly linked to the LUAD disease identifier.,"Causality, record independence, intervention efficacy, direction of action, or clinical validity.",Datasource-level association records with upstream lineage plus independent genetic or functional evidence.,Open Targets release/API|target ID|LUAD disease ID|query|datasource records|retrieval timestamp,"May reuse literature, genetics, clinical, or ChEMBL-derived records and overlaps the indirect association view."
EV_OT_LUAD_INDIRECT_ASSOCIATION,DOM_DISEASE_ASSOCIATION,CURRENT_BOUNDED_CLAIM_ARCHITECTURE,An ontology-expanded Open Targets association view involving LUAD-related descendant disease records.,"A direct LUAD association, an independent validation of the direct view, causality, or therapeutic relevance.",Direct disease-specific records and review of descendant disease relevance and upstream record overlap.,Open Targets release/API|target ID|disease ontology path|descendant IDs|source records|retrieval timestamp,Derived from the same platform framework as the direct view and contains overlapping disease evidence.
EV_OT_LITERATURE_COUNT,DOM_DISEASE_ASSOCIATION,CURRENT_BOUNDED_CLAIM_ARCHITECTURE,The number of literature occurrences returned by the defined Open Targets bibliography query.,"Evidence quality, causal support, novelty, independent replication, or therapeutic value.","Publication-level records with study design, claim relevance, duplication, and source-lineage review.",Platform release/API|query scope|filter definition|publication identifiers|retrieval timestamp,Literature occurrences may overlap association records and may contain multiple reports of the same underlying observation.
EV_GENETIC_CANCER,DOM_GENETIC_EVIDENCE,FUTURE_COMPATIBLE_NOT_QUERIED,A future source-grounded relationship between inherited or tumour-acquired genetic alteration and LUAD biology.,"Pharmacological tractability, therapeutic direction, efficacy, or equivalence between genetic loss and drug modulation.","Variant-level QC, independent cohorts, functional perturbation, mechanism, and pharmacological validation.",Source release|cohort|alteration and gene identifiers|disease definition|statistical model|sample overlap,Future genetic evidence may share TCGA samples or may already contribute to Open Targets association evidence.
EV_FUNCTIONAL_CRISPR_DEPENDENCY,DOM_FUNCTIONAL_DEPENDENCY,FUTURE_COMPATIBLE_NOT_QUERIED,A future context-specific effect of gene perturbation on cancer-model fitness or function.,"Patient benefit, universal tumour dependency, safe therapeutic window, drug efficacy, or clinical relevance.","Independent screens, LUAD model coverage, rescue/orthogonal perturbation, in-vivo context, and normal-cell comparison.",Screen release|model and lineage|guide reagents|QC metrics|effect definition|replicate structure,"Models, guides, or upstream screens can be reused across resources; lineage independence requires record-level review."
EV_CHEMBL_TARGET_ANNOTATION,DOM_PHARMACOLOGY,CURRENT_BOUNDED_CLAIM_ARCHITECTURE,The presence and annotation of a target entity in the frozen ChEMBL release.,"Compound binding, potency, selectivity, mechanism, LUAD relevance, tractability, or clinical actionability.","Assay- and compound-level activity records with target confidence, potency, mechanism, and selectivity context.",ChEMBL release|target ID|mapping basis|target type|annotation record|retrieval timestamp,Open Targets drug and tractability records may reuse ChEMBL target or compound information.
EV_OT_DRUG_CANDIDATE_COUNT,DOM_PHARMACOLOGY,CURRENT_BOUNDED_CLAIM_ARCHITECTURE,The source-native count of Open Targets drug or clinical-candidate records linked to the target query.,"Compound quality, unique mechanisms, target validity, disease-specific efficacy, approval, or independent support.","Record-level compounds, mechanisms, indications, phases, statuses, target linkage, and upstream-source deduplication.",Open Targets release/API|target ID|record identifiers|count definition|query|retrieval timestamp,Records may overlap ChEMBL and Open Targets tractability or clinical-precedence evidence.
EV_CHEMBL_COMPOUND_TARGET,DOM_PHARMACOLOGY,FUTURE_COMPATIBLE_NOT_QUERIED,A future source-grounded compound-target assay or mechanism observation at defined target confidence and activity context.,"In-vivo efficacy, selectivity across biology, LUAD relevance, clinical benefit, or safety.","Potency normalization, assay quality, selectivity panels, mechanism, target engagement, disease models, and exposure evidence.",ChEMBL release|compound/target/assay IDs|target confidence|activity type/value/unit|mechanism record,Compound records can be upstream of Open Targets drug and small-molecule tractability evidence.
EV_OT_TRACTABILITY_SM,DOM_TRACTABILITY,CURRENT_BOUNDED_CLAIM_ARCHITECTURE,A source-native Open Targets assessment of small-molecule tractability for the target.,"Biological causality, compound efficacy, selectivity, disease relevance, safety, or development success.","Bucket-level provenance, structural/ligand evidence, selective compounds, target engagement, and disease-model validation.",Open Targets release/API|target ID|modality|assessment and bucket identifiers|upstream evidence,Shares the Open Targets tractability framework and may reuse ChEMBL or clinical-precedence records.
EV_OT_TRACTABILITY_AB,DOM_TRACTABILITY,CURRENT_BOUNDED_CLAIM_ARCHITECTURE,A source-native Open Targets assessment of antibody tractability for the target.,"Target accessibility in the relevant tumour, antibody efficacy, selectivity, safety, or clinical success.","Cell-surface/accessibility evidence, target localization, antibody specificity, functional studies, and exposure context.",Open Targets release/API|target ID|antibody modality|assessment/bucket identifiers|upstream evidence,Shares the Open Targets framework and can overlap platform drug/candidate clinical precedent.
EV_OT_TRACTABILITY_PR,DOM_TRACTABILITY,CURRENT_BOUNDED_CLAIM_ARCHITECTURE,A source-native Open Targets assessment of PROTAC or targeted-protein-degradation tractability.,"Degrader efficacy, ternary-complex formation, suitable tissue exposure, biological validity, safety, or clinical success.","Ligand and E3 compatibility, degradation assays, selectivity, target resynthesis, disease-model response, and exposure evidence.",Open Targets release/API|target ID|degrader modality|assessment/bucket identifiers|upstream evidence,Shares source framework and may reuse ligandability or development-precedence records represented elsewhere.
EV_OT_TRACTABILITY_OC,DOM_TRACTABILITY,CURRENT_BOUNDED_CLAIM_ARCHITECTURE,A source-native Open Targets assessment for another clinically precedented modality category.,"Feasibility of a specific unnamed modality, biological causality, efficacy, safety, or clinical success.","Explicit modality identity, mechanism, target-access evidence, product-level precedent, and disease-context validation.",Open Targets release/API|target ID|explicit modality category|assessment/bucket identifiers|upstream evidence,Other-clinical-modality assessments may encode clinical precedent also represented in drug or trial records.
EV_CLINICAL_TRIAL_DEVELOPMENT,DOM_CLINICAL_DEVELOPMENT,FUTURE_COMPATIBLE_NOT_QUERIED,A future trial-level record that target modulation or a linked intervention entered human investigation in a defined disease context.,"Efficacy, target validity, approval, successful completion, patient benefit, or a favorable benefit-risk balance.","Verified intervention-target linkage, trial status/phase, disease relevance, results, endpoints, exposure, and safety outcomes.",Registry and version|trial ID|intervention ID|target-linkage basis|disease ID|phase/status|retrieval timestamp,Trial records may overlap Open Targets candidate counts and tractability clinical-precedence assessments.
EV_OT_SAFETY_LIABILITY,DOM_SAFETY,CURRENT_BOUNDED_CLAIM_ARCHITECTURE,A curated Open Targets safety-liability observation with its reported context and source lineage.,"Causal on-target toxicity, incidence, dose relationship, complete risk, target rejection, or safety when records are absent.","Record-level on/off-target attribution, exposure, normal-tissue expression, essentiality, toxicology, clinical outcomes, and replication.",Open Targets release/API|target ID|liability and datasource IDs|study/publication|context|retrieval timestamp,"Multiple liability records may share a datasource, study, publication, event, compound, or mechanism."
