claim_id,claim_statement,claim_scope,claim_status,supported_interpretation,not_supported,required_qualifier,major_remaining_uncertainty
MMP11_CLAIM_01,MMP11 shows higher expression in LUAD tumour than normal tissue in the project TCGA-LUAD analysis.,PROJECT_EXPRESSION,BOUNDED_SUPPORTED,The frozen S0 contrast reports logFC +5.18003235678542 and BH FDR 1.79025769607393e-37.,Expression association does not establish disease causality or therapeutic actionability.,State the Tumor-minus-Normal contrast and project-dataset boundary.,Cell-type attribution and causal relevance remain unresolved.
MMP11_CLAIM_02,The direction of the project-derived MMP11 tumour-normal association is concordant across all six prespecified sensitivity models.,MODEL_ROBUSTNESS,BOUNDED_SUPPORTED,S1-S6 retain TUMOR_HIGHER direction and BH FDR below 0.05.,Sensitivity models are not independent biological replications.,State that all models use the same TCGA-LUAD biological dataset.,Robust model direction cannot resolve dataset-specific bias or causality.
MMP11_CLAIM_03,MMP11 tumour-associated expression observations exist in additional external transcriptomic datasets and analyses.,EXTERNAL_TRANSCRIPTOMICS,BOUNDED_SUPPORTED_WITH_DEPENDENCIES,"Eligible external transcriptomic observations include TCGA, GEO, array, and single-cell contexts.",External TCGA reanalysis is not independent of the project dataset; histology and accession specificity vary.,Separate same-dataset TCGA corroboration from potentially distinct accession-resolved GEO observations.,"Dataset reuse, mixed histology, and unresolved accessions limit replication claims."
MMP11_CLAIM_04,MMP11 protein or tissue-associated observations have been reported in LUAD patient samples.,HUMAN_TISSUE_PROTEIN,BOUNDED_SUPPORTED_WITH_CONTEXT,"Eligible IHC, tissue-protein, serum, and stromal observations are retained by cohort.",Protein or serum observation is not diagnostic validation or therapeutic causality.,"Identify cohort, assay, histology specificity, and tissue-versus-serum context.","Small cohorts, mixed histology, localization, and diagnostic specificity remain limitations."
MMP11_CLAIM_05,Experimental perturbation involving MMP11 altered growth-related and/or migration-invasion phenotypes in reported lung cancer cell models.,CELL_FUNCTIONAL_PERTURBATION,BOUNDED_SUPPORTED_WITH_CONTEXT,Direct LUAD CRISPR/depletion/rescue observations and an insufficiently resolved lung-cancer axis study are represented separately.,Cell-model perturbation does not establish patient efficacy or safety.,Distinguish direct LUAD models from insufficiently histology-resolved rescue evidence.,"Off-target effects, model specificity, and cross-publication replication remain unresolved."
MMP11_CLAIM_06,Preclinical xenograft experiments reported reduced tumour growth after MMP11 depletion or anti-MMP11 intervention.,IN_VIVO_PRECLINICAL,BOUNDED_SUPPORTED_PRECLINICAL,One genetic-depletion xenograft and one antibody xenograft observation are retained.,Xenograft response is not clinical efficacy or human safety.,State that the antibody xenograft is one record classified under intervention but also in vivo.,Both experiments arise from one publication and A549 xenograft context.
MMP11_CLAIM_07,Clinical and prognostic associations involving MMP11 are context-dependent and include null findings.,CLINICAL_ASSOCIATION,BOUNDED_MIXED,"All seven null records, contextual results, and insufficiently LUAD-specific clinical associations are preserved.",These records cannot be collapsed into a binary favourable/unfavourable vote.,Report null findings and histology/cohort limitations alongside associations.,"Retrospective cohorts, computational predictions, mixed histology, and endpoint heterogeneity remain."
MMP11_CLAIM_08,No relevant registered MMP11 clinical-development study was identified within the bounded frozen Task #039B ClinicalTrials.gov check.,CLINICAL_DEVELOPMENT,BOUNDED_SEARCH_RESULT,Five lexical hits were screened and excluded as unrelated.,Bounded search absence is not proof that no study exists globally.,State the frozen query scope and lexical false-positive exclusions.,"Registry indexing, terminology, and future record changes limit the search conclusion."
MMP11_CLAIM_09,"Mechanistic and pathway observations involving MMP11 exist, but they remain model- and context-dependent.",MECHANISTIC,BOUNDED_CONTEXTUAL,"Regulatory, stromal, immune, signalling, and computational-network observations are represented.","Association, downstream readout, or inferred network position is not a complete causal mechanism.","Name the exact model, perturbation, and whether MMP11 itself was directly changed.","Many records use downstream readouts, mixed NSCLC models, or unresolved dataset lineage."
MMP11_CLAIM_10,Anti-MMP11 antibody experiments reported effects in bounded in-vitro and xenograft models.,PRECLINICAL_INTERVENTION,BOUNDED_SUPPORTED_PRECLINICAL,"Three antibody evidence units cover growth, migration, and xenograft readouts.","Preclinical antibody effects do not establish clinical efficacy, safety, specificity, or validated intervention status.","Retain shared publication, reagent, and model dependencies.","Independent reagent validation, exposure, safety, and replication are unresolved."
