field_order,field_name,record_scope,requirement_level,data_type,allowed_values,source_or_derivation,definition,release_validation,interpretation_boundary
1,release_id,RELEASE_MANIFEST,REQUIRED,STRING,SHA256_DERIVED_ID,Release configuration,Stable identity for one complete immutable release bundle.,"Recompute from release spec, universe, profile/evidence versions, input manifest, generator, rules, and serialization hashes.",Release identity contains no target assessment.
2,release_spec_version,RELEASE_MANIFEST,REQUIRED,STRING,PROFILE_RELEASE_SPEC_V0.1,This specification,Version of the release contract.,Exact controlled value.,Spec versions are not evidence maturity levels.
3,release_status,RELEASE_MANIFEST,REQUIRED,CATEGORY,WITHHELD|RELEASED|SUPERSEDED,Release QC decision,Lifecycle state of the immutable release bundle.,RELEASED only after every MUST QC gate passes; failures produce WITHHELD.,Release status does not state target quality.
4,target_universe_id,RELEASE_MANIFEST,REQUIRED,STRING,CONTROLLED_UNIVERSE_ID,Frozen Task #022-compatible manifest,Universe family used for this materialization.,Must resolve to the target manifest artifact.,"Universe membership is scope, not target selection."
5,target_universe_version,RELEASE_MANIFEST,REQUIRED,STRING,CONTENT_DERIVED_VERSION,Frozen target manifest,Immutable universe snapshot version.,Must match every released profile input manifest.,A universe version does not imply scientific merit.
6,input_manifest_sha256,RELEASE_MANIFEST,REQUIRED,SHA256,64_HEX_CHARACTERS,Frozen materialization input manifest,"Hash covering every input artifact, version, rule, and query scope.",Recompute before and after materialization.,"A hash establishes identity, not validity."
7,release_qc_artifact_id,RELEASE_MANIFEST,REQUIRED,STRING,GOVERNED_ARTIFACT_ID,Release QC bundle,Artifact identifier for the complete release QC results.,Must resolve to one frozen QC artifact.,QC provenance is not evidence about a target.
8,release_qc_artifact_sha256,RELEASE_MANIFEST,REQUIRED,SHA256,64_HEX_CHARACTERS,Release QC bundle,Hash of the complete release QC results.,Must match the governed QC artifact.,Passing software QC does not validate biology.
9,profile_id,PROFILE,REQUIRED,STRING,SHA256_DERIVED_ID,Immutable entity and version tuple,Stable identity for one target under one profile/evidence snapshot.,SHA256(EnsemblID|profile_version|evidence_snapshot_version|input_manifest_sha256|rules_sha256).,Identity is not an assessment.
10,EnsemblID,PROFILE,REQUIRED,STRING,IMMUTABLE_VERSIONED_ENSEMBL_GENE_ID,Frozen target manifest,Only entity and join key.,Exact byte-for-byte match to one included target-manifest row; unique among profiles.,Symbol cannot replace or repair it.
11,profile_version,PROFILE,REQUIRED,STRING,VERSIONED_SCHEMA_AND_SEMANTICS,Frozen profile configuration,Version of profile structure and component interpretation semantics.,Changes whenever required/optional fields or interpretation semantics change.,A newer profile version is not a better target.
12,evidence_snapshot_version,PROFILE,REQUIRED,STRING,CONTENT_DERIVED_EVIDENCE_SNAPSHOT,Frozen evidence input manifest,"Version identifying the exact evidence, source releases, query scopes, and hashes.",Derived from canonical ordered evidence artifact IDs/hashes and source versions.,Snapshot recency is not evidence strength.
13,component_id,COMPONENT,REQUIRED,STRING,CONTROLLED_TASK020_COMPONENT_ID,Frozen component registry,Component represented by this long-form row.,Exactly 11 unique component rows per profile in frozen order.,"Components are organizational blocks, not votes."
14,component_state,COMPONENT,REQUIRED,CATEGORY,OBSERVED|PARTIAL|MISSING|NOT_QUERIED|CONFLICTING,Executable state rules,Evidence availability/uncertainty state.,Exactly one state per component under frozen precedence.,States are non-numerical and not favorable/unfavorable.
15,state_rule_id,COMPONENT,REQUIRED,STRING,EXECUTABLE_VERSIONED_RULE_ID,Frozen executable rule registry,Exact rule that resolved the component state.,Must resolve to tested code/configuration and the Task #021 semantic predicate.,Free-text or LLM judgment cannot resolve state.
16,state_rule_version,COMPONENT,REQUIRED,STRING,VERSIONED_VALUE,Frozen executable rule registry,Version of the state-resolution implementation.,Must match release-level rules artifact and hash.,"Rule version is provenance, not confidence."
17,state_rationale,COMPONENT,REQUIRED,STRING,DETERMINISTIC_BOUNDED_TEMPLATE,Resolved rule and linked evidence,Traceable explanation of the satisfied predicate and unresolved limitations.,Generated by a frozen template; must cite linked IDs and cannot exceed evidence meaning.,No therapeutic conclusion permitted.
18,claim_ids,PROVENANCE,REQUIRED,PIPE_DELIMITED_ID_LIST,CLAIM_IDS_OR_NONE,Frozen claim registry,Bounded claim identifiers linked to the component.,"Unique, lexically sorted, and resolvable to EnsemblID/component domains.",Claim count is not evidence strength.
19,evidence_record_ids,PROVENANCE,REQUIRED,PIPE_DELIMITED_ID_LIST,RECORD_IDS_OR_NONE,Frozen evidence-record registry,Atomic evidence records represented by the component.,"Unique, sorted, and each record resolves through a claim to the same EnsemblID.",Records are not independent votes.
20,source_entity_ids,PROVENANCE,REQUIRED,PIPE_DELIMITED_ID_LIST,SOURCE_IDS_OR_NONE,Frozen source registry,Source entities underlying linked records.,Every observed record resolves to one source entity.,Different sources may remain dependent.
21,source_versions,PROVENANCE,REQUIRED,PIPE_DELIMITED_KEY_VALUE_LIST,SOURCE_ID_EQUALS_VERSION_OR_UNKNOWN,Frozen source registry,Explicit source release/version for linked records.,One entry per source ID; UNKNOWN blocks provenance_complete=TRUE.,A version does not establish quality.
22,artifact_ids,PROVENANCE,REQUIRED,PIPE_DELIMITED_ID_LIST,GOVERNED_ARTIFACT_IDS,Frozen input manifest,Artifacts required to reconstruct component evidence.,"Unique and sorted; includes claims, records, sources, dependencies, rules, and source data as applicable.",Artifact count is not evidence quantity.
23,artifact_sha256s,PROVENANCE,REQUIRED,PIPE_DELIMITED_KEY_VALUE_LIST,ARTIFACT_ID_EQUALS_SHA256,Frozen input manifest,Explicit artifact-to-hash mapping.,Exactly one verified hash per artifact ID; positional unpaired hash lists are prohibited.,Hashes do not establish scientific validity.
24,record_missingness_pairs,UNCERTAINTY,REQUIRED,PIPE_DELIMITED_KEY_VALUE_LIST,RECORD_ID_EQUALS_MISSINGNESS,Frozen evidence-record registry,Exact record-level missingness mapping.,"Every evidence_record_id appears exactly once with OBSERVED, NOT_FOUND, NOT_QUERIED, NOT_APPLICABLE, or UNKNOWN.",Missingness is not negative evidence.
25,record_uncertainty_pairs,UNCERTAINTY,REQUIRED,PIPE_DELIMITED_KEY_VALUE_LIST,RECORD_ID_EQUALS_UNCERTAINTY,Frozen evidence-record registry,Exact record-level uncertainty mapping.,Every evidence_record_id maps to its controlled source uncertainty.,Uncertainty is not a numerical penalty.
26,dependency_edge_ids,DEPENDENCY,REQUIRED,PIPE_DELIMITED_ID_LIST,DEPENDENCY_IDS_OR_NONE,Frozen dependency graph,Exact dependency edges induced among component records.,Every edge resolves to two linked evidence_record_ids; no edge is inferred or omitted.,No edge does not prove independence.
27,dependency_relationships,DEPENDENCY,REQUIRED,PIPE_DELIMITED_KEY_VALUE_LIST,DEPENDENCY_ID_EQUALS_RELATIONSHIP,Frozen dependency graph,Exact edge-to-relationship mapping.,One mapping per dependency_edge_id.,Relationships are not numerical weights.
28,dependency_levels,DEPENDENCY,REQUIRED,PIPE_DELIMITED_KEY_VALUE_LIST,DEPENDENCY_ID_EQUALS_LEVEL,Frozen dependency graph,Exact edge-to-qualitative dependency level mapping.,One mapping per dependency_edge_id; UNKNOWN remains UNKNOWN.,Dependency level is not a score.
29,conflict_present,UNCERTAINTY,REQUIRED,CATEGORY,TRUE|FALSE|UNKNOWN,Executable component comparison rule,Whether a material conflict is documented.,Must reconcile with component_state and conflict IDs.,"FALSE means no defined conflict found, not universal agreement."
30,conflict_record_ids,UNCERTAINTY,REQUIRED,PIPE_DELIMITED_ID_LIST,RECORD_IDS_OR_NONE,Frozen conflict rule,Records participating in a component conflict.,Required when conflict_present=TRUE; subset of evidence_record_ids.,Conflicting records cannot be discarded or averaged away.
31,conflict_description,UNCERTAINTY,REQUIRED,STRING,DETERMINISTIC_TEXT_OR_NONE,Frozen conflict rule/template,Bounded description of the conflict and comparison scope.,Required for TRUE; NONE otherwise unless UNKNOWN needs an explicit limitation.,Does not choose a preferred record.
32,provenance_complete,PROVENANCE,REQUIRED,CATEGORY,TRUE|FALSE|UNKNOWN,Release provenance validation,Whether minimum component provenance is present.,TRUE requires complete record/source/artifact/rule mappings.,Complete provenance does not mean strong evidence.
33,evidence_record_count,AUDIT,REQUIRED,INTEGER,NONNEGATIVE_INTEGER,Exact evidence_record_ids count,Audit count of linked atomic records.,Must equal the number of non-NONE record IDs.,Quantity is not quality or independence.
34,observed_record_count,AUDIT,REQUIRED,INTEGER,NONNEGATIVE_INTEGER,record_missingness_pairs,Audit count whose record-level state is OBSERVED.,Must not exceed evidence_record_count.,More observed records do not imply stronger support.
35,maturity_description,INTERPRETATION,REQUIRED,STRING,BOUNDED_DETERMINISTIC_TEXT,Frozen component template,What evidence is characterized and what remains unresolved.,Cannot change component_state or aggregate components.,"Maturity is availability, not target quality."
36,generator_id,REPRODUCIBILITY,REQUIRED,STRING,GOVERNED_GENERATOR_ID,Frozen run configuration,Identity of the materialization generator.,Must resolve to source-controlled code.,Generator identity does not validate scientific logic.
37,generator_version,REPRODUCIBILITY,REQUIRED,STRING,VERSIONED_VALUE,Frozen run configuration,Version of materialization behavior.,Exact value frozen before generation.,Version is not evidence maturity.
38,generator_sha256,REPRODUCIBILITY,REQUIRED,SHA256,64_HEX_CHARACTERS,Frozen generator artifact,Content hash of executed generator.,Must match the executed file.,A hash does not prove correct logic.
39,rules_sha256,REPRODUCIBILITY,REQUIRED,SHA256,64_HEX_CHARACTERS,Executable rule artifact,Hash covering executable state and rationale rules.,Used in profile_id and verified before/after generation.,Rules cannot contain hidden aggregation.
40,generated_at_utc,REPRODUCIBILITY,REQUIRED,DATETIME,FROZEN_ISO8601_UTC,Frozen run configuration,Materialization snapshot time.,Copied from configuration; wall clock cannot alter rows.,Recency is not relevance.
41,serialization_version,REPRODUCIBILITY,REQUIRED,STRING,CANONICAL_CSV_VERSION,Frozen run configuration,Canonical output-format version.,"Controls header, row order, quoting, lists, booleans, integers, and sentinels.",Format does not change evidence meaning.
42,Symbol,OPTIONAL_ANNOTATION,OPTIONAL,STRING,SOURCE_VALUE|NOT_FOUND,Frozen identity annotation,Human-readable display annotation.,Copied after EnsemblID joins; never used as a key or repair.,Symbol is not identity.
43,gene_type,OPTIONAL_ANNOTATION,OPTIONAL,STRING,SOURCE_VALUE|NOT_FOUND,Frozen identity annotation,Source-provided gene-type display annotation.,Copied without recoding; cannot alter component state.,Gene type does not imply relevance or druggability.
44,external_identifier_annotations,OPTIONAL_ANNOTATION,OPTIONAL,JSON,SOURCE_GROUNDED_IDENTIFIERS_OR_NONE,Frozen identifier mapping,Display-only external identifiers with their source/status.,No symbol inference; ambiguous and missing mappings remain explicit.,External IDs do not replace EnsemblID.
45,display_note,OPTIONAL_ANNOTATION,OPTIONAL,STRING,DETERMINISTIC_BOUNDED_TEXT_OR_NONE,Frozen display template,Non-interpretive display clarification.,"Cannot introduce claims, ordering, recommendations, or therapeutic meaning.",Presentation only.
46,score,PROHIBITED,PROHIBITED,NONE,MUST_NOT_EXIST,Release safety boundary,Any numerical or categorical target score.,Header/value absence required.,No scoring in evidence profiles.
47,rank,PROHIBITED,PROHIBITED,NONE,MUST_NOT_EXIST,Release safety boundary,Any target ordering field.,Header/value absence required.,No ranking in evidence profiles.
48,priority,PROHIBITED,PROHIBITED,NONE,MUST_NOT_EXIST,Release safety boundary,Any priority label or tier.,Header/value absence required.,No prioritization in evidence profiles.
49,recommendation,PROHIBITED,PROHIBITED,NONE,MUST_NOT_EXIST,Release safety boundary,Any recommendation field.,Header/value absence required.,No target recommendation.
50,target_selection,PROHIBITED,PROHIBITED,NONE,MUST_NOT_EXIST,Release safety boundary,Any target selection decision.,Header/value absence required.,Universe membership is not selection.
51,therapeutic_direction,PROHIBITED,PROHIBITED,NONE,MUST_NOT_EXIST,Release safety boundary,Any inferred therapeutic mechanism direction.,Header/value absence required.,No therapeutic-direction inference.
52,aggregate_target_state,PROHIBITED,PROHIBITED,NONE,MUST_NOT_EXIST,Hidden-aggregation boundary,Any combined overall profile state.,Header/value absence required.,Components cannot be collapsed into one judgment.
53,aggregate_confidence,PROHIBITED,PROHIBITED,NONE,MUST_NOT_EXIST,Hidden-aggregation boundary,Any combined confidence metric.,Header/value absence required.,Uncertainty cannot become a hidden score.
54,completeness_percentage,PROHIBITED,PROHIBITED,NONE,MUST_NOT_EXIST,Hidden-aggregation boundary,Any profile-completeness percentage.,Header/value absence required.,Completeness is not quality.
55,independent_evidence_vote_count,PROHIBITED,PROHIBITED,NONE,MUST_NOT_EXIST,Dependency boundary,Any count treating records/domains as independent votes.,Header/value absence required.,Independence requires explicit reviewed lineage.
56,development_decision,PROHIBITED,PROHIBITED,NONE,MUST_NOT_EXIST,Interpretation boundary,Any progress/stop or development decision.,Header/value absence required.,Evidence organization is separate from decisions.
