claim_id,total_linked_evidence_rows,unique_linked_evidence_ids,number_of_evidence_families,number_sharing_dataset_lineage,number_sharing_publication_lineage,number_sharing_experimental_model,number_with_unresolved_dependency,null_evidence_present,context_dependent_evidence_present,insufficiently_specific_evidence_present,major_remaining_uncertainty,count_semantics
MMP11_CLAIM_01,1,1,1,0,0,0,0,FALSE,FALSE,FALSE,Cell-type attribution and causal relevance remain unresolved.,Audit metadata only; counts are not evidence strength or confidence.
MMP11_CLAIM_02,6,1,1,6,0,0,0,FALSE,FALSE,FALSE,Robust model direction cannot resolve dataset-specific bias or causality.,Audit metadata only; counts are not evidence strength or confidence.
MMP11_CLAIM_03,14,14,13,2,2,4,1,FALSE,TRUE,TRUE,"Dataset reuse, mixed histology, and unresolved accessions limit replication claims.",Audit metadata only; counts are not evidence strength or confidence.
MMP11_CLAIM_04,9,9,8,2,6,4,0,FALSE,TRUE,TRUE,"Small cohorts, mixed histology, localization, and diagnostic specificity remain limitations.",Audit metadata only; counts are not evidence strength or confidence.
MMP11_CLAIM_05,4,4,3,0,3,0,1,FALSE,FALSE,TRUE,"Off-target effects, model specificity, and cross-publication replication remain unresolved.",Audit metadata only; counts are not evidence strength or confidence.
MMP11_CLAIM_06,2,2,2,0,2,2,0,FALSE,FALSE,FALSE,Both experiments arise from one publication and A549 xenograft context.,Audit metadata only; counts are not evidence strength or confidence.
MMP11_CLAIM_07,13,13,10,4,4,0,2,TRUE,TRUE,TRUE,"Retrospective cohorts, computational predictions, mixed histology, and endpoint heterogeneity remain.",Audit metadata only; counts are not evidence strength or confidence.
MMP11_CLAIM_08,1,1,1,0,0,0,0,FALSE,FALSE,FALSE,"Registry indexing, terminology, and future record changes limit the search conclusion.",Audit metadata only; counts are not evidence strength or confidence.
MMP11_CLAIM_09,12,12,12,0,0,0,1,FALSE,TRUE,TRUE,"Many records use downstream readouts, mixed NSCLC models, or unresolved dataset lineage.",Audit metadata only; counts are not evidence strength or confidence.
MMP11_CLAIM_10,3,3,1,0,3,2,0,FALSE,FALSE,FALSE,"Independent reagent validation, exposure, safety, and replication are unresolved.",Audit metadata only; counts are not evidence strength or confidence.
