dependency_id,record_a,record_b,relationship,dependency_level,reason,review_status
DEP_5261D5F3B2A1A0C22A177632,REC_7421E36F03E3173F6ACA2CBF,REC_EEF1F64ABFE5A1CEDE0C31BC,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_3E30E6B97B059009F0BD7B25,REC_02F53FCF92F4783672659FB9,REC_8B280E24EB46C810CAA68488,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_59518A487AC36E76AFBD4A45,REC_1F330B8136D7EADD2C7A83BA,REC_F58B217B0E2AD41A65AC9968,SAME_SOURCE,DEPENDENT,Both records are delivered by the same Open Targets target/release framework; upstream record overlap is possible.,REVIEWED_TASK013
DEP_4FC343C270442E0B00A9BE30,REC_1F330B8136D7EADD2C7A83BA,REC_4F3F4A2A830129CE02C9388B,SAME_SOURCE,PARTIALLY_DEPENDENT,Disease association and tractability address different questions but share the Open Targets target object and release.,REVIEWED_LINEAGE_ONLY
DEP_124A44981A9F11BA056C475D,REC_1F330B8136D7EADD2C7A83BA,REC_B2B6633CA301F12FB43B7DAB,SAME_SOURCE,PARTIALLY_DEPENDENT,Disease association and safety records share the Open Targets delivery source and may share target annotations or literature.,RECORD_LEVEL_OVERLAP_UNRESOLVED
DEP_DED7FACDE67E55BD4F3A3B2B,REC_F58B217B0E2AD41A65AC9968,REC_4F3F4A2A830129CE02C9388B,SAME_SOURCE,PARTIALLY_DEPENDENT,Drug/candidate counts can overlap clinical-precedence or pharmacology evidence used by tractability.,REVIEWED_TASK013
DEP_8FE6023F9C2E3660308490B4,REC_F58B217B0E2AD41A65AC9968,REC_B2B6633CA301F12FB43B7DAB,SAME_SOURCE,PARTIALLY_DEPENDENT,Drug/candidate and safety summaries share a Platform release; exact upstream record overlap is unresolved.,RECORD_LEVEL_OVERLAP_UNRESOLVED
DEP_25DD5F66366D3CE70F930557,REC_4F3F4A2A830129CE02C9388B,REC_B2B6633CA301F12FB43B7DAB,SAME_SOURCE,PARTIALLY_DEPENDENT,Tractability and safety are separate blocks but share the Open Targets target object and may reference overlapping pharmacology or literature.,REVIEWED_TASK013
DEP_60A361AA9B3AB72192A52AA2,REC_F58B217B0E2AD41A65AC9968,REC_1AE0E0EDD7319ED5F35B39D3,UNKNOWN,PARTIALLY_DEPENDENT,"Open Targets drug/candidate information may use ChEMBL, but exact record-level overlap is not present in the integrated summary.",RECORD_LEVEL_OVERLAP_UNRESOLVED
DEP_64EBB349289E046FD197469A,REC_1AE0E0EDD7319ED5F35B39D3,REC_4F3F4A2A830129CE02C9388B,UNKNOWN,PARTIALLY_DEPENDENT,Open Targets tractability may use ChEMBL-derived information; exact shared records cannot be resolved from gene-level summaries.,RECORD_LEVEL_OVERLAP_UNRESOLVED
DEP_FEFEFCC1CCFD08A57B014698,REC_510786FBF80A2AE991EE980E,REC_BCF94AC80F7A41046E0DAE3F,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_DA4F96FB5315B82730FDFADD,REC_D21C9E760ABCB5601BE50880,REC_8E75C6673AEC97E0D10DD236,SAME_SOURCE,DEPENDENT,Both records are delivered by the same Open Targets target/release framework; upstream record overlap is possible.,REVIEWED_TASK013
DEP_0BA16EE5B41FB44D7C2E8259,REC_D21C9E760ABCB5601BE50880,REC_A56AA66D3362386B387C4871,SAME_SOURCE,PARTIALLY_DEPENDENT,Disease association and tractability address different questions but share the Open Targets target object and release.,REVIEWED_LINEAGE_ONLY
DEP_766C4B173DB6EF65782DC3F7,REC_8E75C6673AEC97E0D10DD236,REC_A56AA66D3362386B387C4871,SAME_SOURCE,PARTIALLY_DEPENDENT,Drug/candidate counts can overlap clinical-precedence or pharmacology evidence used by tractability.,REVIEWED_TASK013
DEP_57F87671D3A70017CE33C336,REC_D7939A22C9D49CBC6CB4415C,REC_AA31D1847C7C3590EF9EF516,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_73C3E3801E8A299B6132AEB6,REC_22344EA7C4095AE7FF1F3690,REC_B1D2C909C0CB3D4875911D69,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
DEP_761AC13149B9380866019F94,REC_5A85A9DF76C63C96D21BAEA1,REC_013E48B060C36F99A8101C93,SHARED_DATASET,DEPENDENT,Primary and S1-S6 records are derived from the same frozen TCGA-LUAD expression cohort and related contrasts.,REVIEWED_TASK013
