provisional_system_id,canonical_name,aliases,candidate_categories,candidate_kind,target_level_relevance,first_party_source_candidate_ids,version_or_snapshot_information,discovery_evidence_source_ids,discovery_search_event_ids,reason_for_retaining_candidate,discovery_only_no_capability_coding,assistance_mode
P2SYS_582E4536400FA3895746,A knowledge graph to interpret clinical proteomics data,NONE_RECORDED,CAT_01|CAT_03|CAT_04,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_031B39B2F4F80E87C8B0,P2E1B_OPENALEX_03|P2E1B_OPENALEX_10,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_019756C059D693ACC5D3,A Knowledge Graph-Enhanced Tensor Factorisation Model for Discovering Drug Targets,NONE_RECORDED,CAT_01|CAT_07,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_E459DF623ACDDAA205CA,P2E1B_PUBMED_07,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_767937675D0ED59A1588,A review of biomedical datasets relating to drug discovery: a knowledge graph perspective,NONE_RECORDED,CAT_01|CAT_03,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_5AD449F685A661FB7AC6,P2E1B_OPENALEX_03,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_DF9D04E16557260110E7,"A Survey on Knowledge Graphs: Representation, Acquisition, and Applications",NONE_RECORDED,CAT_01|CAT_03|CAT_04|CAT_05|CAT_06,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_203B3A3FE83F74E7E39E,P2E1B_OPENALEX_03|P2E1B_OPENALEX_06|P2E1B_OPENALEX_09|P2E1B_OPENALEX_10,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_F253BB9B155AEA22051E,A systematic exploration of unexploited genes for oxidative stress in Parkinson’s disease,NONE_RECORDED,CAT_01|CAT_02,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_9CEFC3EBBBD588784036,P2E1B_OPENALEX_02,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_7FB3BB5FA63C857789F8,A unified drug–target interaction prediction framework based on knowledge graph and recommendation system,NONE_RECORDED,CAT_01|CAT_03,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_4798ABA28A0544EE986A,P2E1B_OPENALEX_03,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_44557E4EA9A69BC0B2D8,Application of artificial intelligence large language models in drug target discovery,NONE_RECORDED,CAT_01|CAT_07,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_10C0E13FCBCD44D9BBDF,P2E1B_PUBMED_07,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_449B6272A7FC13150C54,Artificial intelligence alphafold model for molecular biology and drug discovery: a machine-learning-driven informatics investigation,NONE_RECORDED,CAT_01|CAT_07,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_5A0C027A9B618A8DF229,P2E1B_PUBMED_14,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_6C42C4F091F6323163E7,Artificial intelligence and machine learning‐aided drug discovery in central nervous system diseases: State‐of‐the‐arts and future directions,NONE_RECORDED,CAT_01|CAT_07,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_97BB719767C60F96E155,P2E1B_OPENALEX_07,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
P2SYS_1352D57C6C4C05069790,"Artificial intelligence for drug discovery: Resources, methods, and applications",NONE_RECORDED,CAT_01|CAT_07,METHOD_OR_IMPLEMENTATION_STATUS_UNRESOLVED,UNRESOLVED_FROM_DISCOVERY_METADATA,NONE_IDENTIFIED_IN_CAPTURED_PILOT,NOT_ESTABLISHED_IN_DISCOVERY_METADATA,P2SRC_B74E01DD852DCA873170,P2E1B_OPENALEX_14,LIKELY_RELEVANT_FRAMEWORK_OR_METHOD_TITLE_RETRIEVED_IN_PILOT,TRUE,AI_ASSISTED_DISCOVERY
