contract_id,contract_type,stage_order,input_or_stage_name,required_artifact_or_role,required_fields,immutable_key,cardinality_or_order,validation_rule,provenance_propagation,deterministic_rule,failure_behavior
MAT_INPUT_TARGET_MANIFEST,FUTURE_REQUIRED_INPUT,1,Frozen target universe manifest,FUTURE_TARGET_MANIFEST_NOT_SUPPLIED_IN_TASK021,EnsemblID|target_order|input_artifact_id|input_sha256,EnsemblID,ONE_ROW_PER_UNIQUE_ENSEMBLID,EnsemblID unique/nonempty; exact order frozen; manifest path/size/SHA256 governed before materialization.,EnsemblID|input_artifact_id|input_sha256,Target rows follow target_order exactly; symbols are never used as keys or fallback mappings.,STOP_IF_MISSING_DUPLICATED_REORDERED_OR_HASH_MISMATCH
MAT_INPUT_PROFILE_SCHEMA,FROZEN_RULE_INPUT,2,Task #020 profile schema,outputs/evidence_profiles/profile_schema.csv,field_order|field_name|data_type|required|allowed_values|interpretation_boundary,field_name,28_UNIQUE_FIELDS_IN_FIELD_ORDER,Task #020 SHA256 matches; exact 28-field vocabulary and order retained.,profile_version|schema_artifact_id|schema_sha256,Output header follows numeric field_order; no extra or omitted profile fields.,STOP_ON_SCHEMA_OR_HASH_CHANGE
MAT_INPUT_COMPONENT_REGISTRY,FROZEN_RULE_INPUT,3,Task #020 component registry,outputs/evidence_profiles/profile_component_registry.csv,profile_section_id|component_id|evidence_domains|evidence_types|allowed_states|required_provenance|dependency_boundary,component_id,11_UNIQUE_COMPONENTS_IN_FILE_ORDER,Task #020 SHA256 matches; 4/4/3 sections and exact state vocabulary retained.,component_id|profile_section_id|evidence_domain_ids|evidence_type_ids|component_registry_sha256,"For each target, component rows follow registry file order exactly.",STOP_ON_COMPONENT_OR_HASH_CHANGE
MAT_INPUT_INTERPRETATION_RULES,FROZEN_RULE_INPUT,4,Task #019–#020 interpretation boundaries,outputs/decision_context/interpretation_boundary_registry.csv|outputs/evidence_profiles/profile_interpretation_rules.csv,evidence_type|what_it_supports|what_it_does_not_support|rule_id|prohibited_conclusion|required_handling,evidence_type|rule_id,17_EVIDENCE_BOUNDARIES_AND_18_PROFILE_RULES,Both SHA256 values match; every acceptable evidence type has exactly one boundary.,interpretation_boundary_ids|profile_rule_version_hash,Boundaries constrain state rationale templates and are never inferred from free text.,STOP_ON_MISSING_BOUNDARY_RULE_OR_HASH_CHANGE
MAT_INPUT_CLAIMS,FUTURE_PROFILE_DATA_INPUT,5,Bounded evidence claim registry,outputs/evidence_claim_architecture/evidence_claim_registry.csv_OR_VERSIONED_SUCCESSOR,claim_id|EnsemblID|domain_id|claim_type|claim_status|supporting_record_count|uncertainty_status,claim_id,UNIQUE_CLAIM_ID_MANY_CLAIMS_PER_ENSEMBLID,Every claim links to a frozen target and controlled ontology domain; claim IDs and artifact hash are unique/frozen.,claim_ids|uncertainty_categories|input_artifact_ids|input_sha256s,"Eligible claims are selected by EnsemblID plus controlled domain/type, then sorted lexically by claim_id.",STOP_ON_ORPHAN_DUPLICATE_UNKNOWN_DOMAIN_OR_HASH_MISMATCH
MAT_INPUT_EVIDENCE_RECORDS,FUTURE_PROFILE_DATA_INPUT,6,Atomic evidence record registry,outputs/evidence_claim_architecture/evidence_record_registry.csv_OR_VERSIONED_SUCCESSOR,record_id|claim_id|source_id|source_record_type|source_record_identifier|observation_status|missingness_status|uncertainty_status|provenance_notes,record_id,UNIQUE_RECORD_ID_MANY_RECORDS_PER_CLAIM,"Every record links to one claim/source; type is component-acceptable; source-native ID, missingness, uncertainty, and provenance are explicit.",evidence_record_ids|source_entity_ids|missingness_statuses|uncertainty_categories|evidence_record_count|observed_record_count,"Eligible records are selected by linked claim and acceptable type, deduplicated only by identical record_id, and sorted lexically.",STOP_ON_ORPHAN_DUPLICATE_UNKNOWN_TYPE_OR_HASH_MISMATCH
MAT_INPUT_SOURCE_ENTITIES,FUTURE_PROFILE_DATA_INPUT,7,Source entity and version registry,outputs/evidence_claim_architecture/source_entity_registry.csv_OR_VERSIONED_SUCCESSOR,source_id|source_name|provider|source_type|version|retrieval_information|dependency_notes,source_id,ONE_ROW_PER_UNIQUE_SOURCE_ID,Every observed record resolves to one versioned source entity; UNKNOWN version prevents provenance_complete=TRUE.,source_entity_ids|source_versions,Source IDs and key=value version pairs are sorted lexically; missing versions use UNKNOWN explicitly.,STOP_ON_MISSING_SOURCE;MARK_PROVENANCE_INCOMPLETE_ON_UNKNOWN_VERSION
MAT_INPUT_MISSINGNESS_UNCERTAINTY,FUTURE_PROFILE_DATA_INPUT,8,Missingness and uncertainty registry,outputs/evidence_claim_architecture/missingness_uncertainty_registry.csv_OR_VERSIONED_SUCCESSOR,entity_id|entity_type|status_type|status_value|explanation,entity_id|status_type,ONE_MISSINGNESS_AND_ONE_UNCERTAINTY_STATE_PER_REQUIRED_ENTITY,"Only controlled Task #014 values; NOT_FOUND, NOT_QUERIED, UNKNOWN, and conflicts remain distinct.",missingness_statuses|uncertainty_categories|state_rationale|conflict_description,"States are copied, never inferred from zero/blank values, and emitted in controlled vocabulary order.",STOP_ON_UNKNOWN_STATUS_OR_MISSING_REQUIRED_STATE
MAT_INPUT_DEPENDENCIES,FUTURE_PROFILE_DATA_INPUT,9,Evidence record dependency graph,outputs/evidence_claim_architecture/evidence_dependency_graph.csv_OR_VERSIONED_SUCCESSOR,dependency_id|record_a|record_b|relationship|dependency_level|reason|review_status,dependency_id,UNIQUE_UNORDERED_RECORD_PAIR_PER_DEPENDENCY_ASSERTION,Both record endpoints exist; relationship/level controlled; absence of an edge never becomes INDEPENDENT.,dependency_relationships|dependency_levels|state_rationale,Induced edges among component records are sorted by canonical unordered pair then dependency_id.,STOP_ON_ORPHAN_OR_INVALID_EDGE;PRESERVE_UNKNOWN_DEPENDENCY
MAT_INPUT_ARTIFACT_GOVERNANCE,FROZEN_PROVENANCE_INPUT,10,Task #018 artifact manifest and run manifest,outputs/artifact_governance/artifact_manifest.csv|FUTURE_MATERIALIZATION_INPUT_MANIFEST,artifact_id|relative_path_or_uri|file_size_bytes|sha256|generated_by|input_dependencies|tracking_or_storage_status,artifact_id,ONE_ROW_PER_FROZEN_INPUT_ARTIFACT,Every input exists at its governed location and exactly matches size/SHA256 before and after generation.,input_artifact_ids|input_sha256s|generated_by,Artifact IDs/hashes are sorted by artifact_id and embedded unchanged in every affected component row.,STOP_ON_MISSING_ARTIFACT_OR_HASH_MISMATCH
