field_order,field_name,profile_scope,data_type,required,allowed_values,source_or_derivation,definition,interpretation_boundary
1,profile_id,PROFILE,STRING,TRUE,UNIQUE_NONEMPTY,Derived from immutable EnsemblID and profile_version,Stable identifier for one versioned target evidence profile.,Identity only; it contains no scientific assessment.
2,profile_version,PROFILE,STRING,TRUE,VERSIONED_VALUE,Versioned profile configuration,Version of the profile architecture and state-resolution rules.,A newer version is not inherently better or more mature.
3,EnsemblID,PROFILE,STRING,TRUE,IMMUTABLE_ENSEMBL_GENE_ID,Task #009–#014 immutable identifier,Only immutable target join key.,Gene symbols may be displayed separately but never replace or join this key.
4,profile_section_id,COMPONENT,STRING,TRUE,CONTROLLED_SECTION_ID,profile_component_registry.csv,Section containing the component.,Section membership does not create independent evidence.
5,component_id,COMPONENT,STRING,TRUE,CONTROLLED_COMPONENT_ID,profile_component_registry.csv,Component represented by this long-form target-component row.,"A component is an organizational view, not a vote."
6,component_state,COMPONENT,CATEGORY,TRUE,OBSERVED|PARTIAL|MISSING|NOT_QUERIED|CONFLICTING,Deterministic state-resolution rule,Evidence-availability and uncertainty state for this component.,The state is not favorable/unfavorable and has no numerical ordering.
7,state_rationale,COMPONENT,STRING,TRUE,NONEMPTY_TEXT,"Bounded claims, records, missingness, and uncertainty",Traceable explanation for the component state.,Narrative must not exceed the source-supported claim.
8,evidence_domain_ids,COMPONENT,PIPE_DELIMITED_ID_LIST,TRUE,TASK013_DOMAIN_IDS,profile_component_registry.csv,Ontology domains represented by the component.,Multiple domains are not additive support.
9,evidence_type_ids,COMPONENT,PIPE_DELIMITED_ID_LIST,TRUE,TASK013_EVIDENCE_TYPE_IDS,profile_component_registry.csv,Evidence types eligible for the component.,Eligibility does not mean that evidence was observed.
10,claim_ids,PROVENANCE,PIPE_DELIMITED_ID_LIST,TRUE,TASK014_CLAIM_IDS_OR_NONE,Task #014 claim architecture,Bounded claims linked to the component.,"A claim is an evidence state, not a therapeutic conclusion."
11,evidence_record_ids,PROVENANCE,PIPE_DELIMITED_ID_LIST,TRUE,TASK014_RECORD_IDS_OR_NONE,Task #014 evidence records,Atomic evidence records linked to the component.,Record count does not measure evidence quality or independence.
12,source_entity_ids,PROVENANCE,PIPE_DELIMITED_ID_LIST,TRUE,TASK014_SOURCE_IDS_OR_NONE,Task #014 source entities,Source entities underlying linked records.,Different source IDs still require dependency review.
13,source_versions,PROVENANCE,PIPE_DELIMITED_KEY_VALUE_LIST,TRUE,VERSION_OR_UNKNOWN,Source lineage and retrieval sessions,Version/release for every external or derived source.,Unknown versions make interpretation incomplete.
14,input_artifact_ids,PROVENANCE,PIPE_DELIMITED_ID_LIST,TRUE,TASK018_ARTIFACT_IDS,Task #018 artifact manifest,Governed input artifacts used to construct the component.,Artifact presence does not add scientific evidence.
15,input_sha256s,PROVENANCE,PIPE_DELIMITED_SHA256_LIST,TRUE,64_CHARACTER_SHA256_VALUES,Task #018 artifact manifest and task session,Frozen content hashes matching each input artifact.,"A hash establishes content identity, not scientific validity."
16,missingness_statuses,UNCERTAINTY,PIPE_DELIMITED_CATEGORY_LIST,TRUE,OBSERVED|NOT_FOUND|NOT_QUERIED|NOT_APPLICABLE|UNKNOWN,Task #014 missingness registry,Source/record missingness retained without collapse.,NOT_FOUND and NOT_QUERIED are not negative biological evidence.
17,uncertainty_categories,UNCERTAINTY,PIPE_DELIMITED_CATEGORY_LIST,TRUE,SOURCE_LIMITATION|INCOMPLETE_COVERAGE|CONFLICTING_RECORDS|DEPENDENCY_UNCERTAIN|TEMPORAL_UNCERTAINTY,Task #014 uncertainty registry,Known uncertainty categories attached to the component.,Uncertainty is not converted into a confidence penalty.
18,dependency_relationships,DEPENDENCY,PIPE_DELIMITED_CATEGORY_LIST,TRUE,SAME_SOURCE|SHARED_PUBLICATION|SHARED_DATASET|SHARED_COMPOUND|SHARED_TRIAL|UNKNOWN,Task #014 dependency graph,Relationships among linked evidence records.,Absence of an edge does not prove independence.
19,dependency_levels,DEPENDENCY,PIPE_DELIMITED_CATEGORY_LIST,TRUE,INDEPENDENT|PARTIALLY_DEPENDENT|DEPENDENT|UNKNOWN,Task #014 dependency graph,Qualitative dependency levels for linked records.,Levels are not numerical weights or penalties.
20,conflict_present,UNCERTAINTY,CATEGORY,TRUE,TRUE|FALSE|UNKNOWN,Record comparison under component-specific rules,Whether a material evidence conflict is documented.,"FALSE means no defined conflict was found, not universal agreement."
21,conflict_description,UNCERTAINTY,STRING,TRUE,NONEMPTY_TEXT_OR_NONE,Conflicting records and comparison rule,Preserves the nature and source of any conflict.,Conflicts must not be averaged away or silently removed.
22,provenance_complete,PROVENANCE,CATEGORY,TRUE,TRUE|FALSE|UNKNOWN,Required provenance-field validation,Whether minimum provenance is present for every linked record.,Complete provenance does not establish evidence quality.
23,evidence_record_count,AUDIT,INTEGER,TRUE,NONNEGATIVE_INTEGER,Count of linked atomic evidence records,Audit count of records represented in the component.,"Quantity is not quality, confidence, independence, or support strength."
24,observed_record_count,AUDIT,INTEGER,TRUE,NONNEGATIVE_INTEGER_NOT_EXCEEDING_RECORD_COUNT,Count of linked records with observed status,Audit count of observed bounded records.,More observed records do not imply stronger evidence.
25,maturity_description,INTERPRETATION,STRING,TRUE,BOUNDED_QUALITATIVE_TEXT,"Component states, provenance, uncertainty, and missingness",Qualitative description of what is sufficiently characterized and what remains unresolved.,"Maturity is evidence availability, not target quality or development merit."
26,interpretation_boundary_ids,INTERPRETATION,PIPE_DELIMITED_EVIDENCE_TYPE_IDS,TRUE,TASK019_EVIDENCE_TYPE_IDS,Task #019 interpretation boundaries,Evidence-type boundaries applicable to the component.,Boundaries constrain claims and cannot be waived by record quantity.
27,generated_by,REPRODUCIBILITY,STRING,TRUE,VERSIONED_GENERATOR_PATH,Future profile builder,Versioned generator that materialized the profile.,Generator identity does not validate its scientific logic.
28,generated_at_utc,REPRODUCIBILITY,DATETIME,TRUE,ISO8601_UTC,Future profile builder runtime,Timestamp for the generated profile snapshot.,Recency does not make evidence independent or stronger.
