evidence_pair,relationship,dependency_level,reason,future_aggregation_warning
EV_TCGA_DE_EFFECT vs EV_TCGA_DE_SIGNIFICANCE,DERIVED_FROM_SAME_SOURCE,HIGH,Effect estimates and significance statistics are calculated from the same expression contrast and samples.,"Treat as complementary fields within one transcriptomic observation, not two votes."
EV_TCGA_DE_EFFECT vs EV_TCGA_DE_ROBUSTNESS,DERIVED_FROM_SAME_SOURCE,HIGH,S1-S6 robustness statistics reanalyse the same frozen expression data under related model specifications.,"Use robustness to qualify the expression result, not to multiply transcriptomic support."
EV_TCGA_DE_SIGNIFICANCE vs EV_TCGA_DE_ROBUSTNESS,DERIVED_FROM_SAME_SOURCE,HIGH,"Primary FDR and sensitivity FDR values share samples, counts, preprocessing, and related contrasts.",Do not count each sensitivity model as independent replication.
EV_TCGA_DE_EFFECT vs EV_OT_LUAD_DIRECT_ASSOCIATION,PARTIALLY_DEPENDENT,PARTIAL,"The sources are distinct, but Open Targets disease evidence can incorporate literature or external datasets discussing tumour expression and LUAD biology.",Count cross-domain convergence only after checking the Open Targets datasource lineage.
EV_OT_LUAD_DIRECT_ASSOCIATION vs EV_OT_LUAD_INDIRECT_ASSOCIATION,DERIVED_FROM_SAME_SOURCE,HIGH,Both views come from the same Open Targets association framework; the indirect view expands through disease-ontology descendants and contains overlapping evidence.,Never aggregate direct and indirect association values as independent disease evidence.
EV_OT_LUAD_DIRECT_ASSOCIATION vs EV_OT_LITERATURE_COUNT,PARTIALLY_DEPENDENT,PARTIAL,Open Targets association evidence and bibliography counts share the same platform and may refer to overlapping publications.,Literature volume must not be added as an independent validation of an association without record-level lineage.
EV_OT_LUAD_INDIRECT_ASSOCIATION vs EV_OT_LITERATURE_COUNT,PARTIALLY_DEPENDENT,PARTIAL,Ontology-expanded associations and target bibliography counts may reuse overlapping literature and platform records.,Do not interpret both as independent disease-support observations.
EV_OT_LUAD_DIRECT_ASSOCIATION vs EV_OT_DRUG_CANDIDATE_COUNT,DERIVED_FROM_SAME_SOURCE,HIGH,"Both fields are delivered by the same Open Targets release and target/disease data model, even if upstream records differ.",Retain as distinct questions within different domains but do not infer source independence from separate columns.
EV_OT_DRUG_CANDIDATE_COUNT vs EV_CHEMBL_TARGET_ANNOTATION,PARTIALLY_DEPENDENT,PARTIAL,Open Targets drug/candidate information may use ChEMBL-derived target and drug records; Task #010 ChEMBL availability is also identifier-linked metadata.,Do not count platform drug records plus ChEMBL target presence as two independent pharmacology findings.
EV_CHEMBL_COMPOUND_TARGET vs EV_OT_DRUG_CANDIDATE_COUNT,PARTIALLY_DEPENDENT,PARTIAL,Future ChEMBL compound-target records may be upstream of or overlap Open Targets drug/candidate records.,"Perform compound, mechanism, and provenance deduplication before future aggregation."
EV_CHEMBL_COMPOUND_TARGET vs EV_OT_TRACTABILITY_SM,PARTIALLY_DEPENDENT,PARTIAL,Open Targets small-molecule tractability may use ligandability and ChEMBL pharmacology evidence.,Do not treat the same compound/target record as independent pharmacology and tractability support.
EV_OT_DRUG_CANDIDATE_COUNT vs EV_OT_TRACTABILITY_SM,PARTIALLY_DEPENDENT,PARTIAL,Small-molecule tractability includes clinical-precedence or pharmacological buckets that may overlap platform drug/candidate records.,Aggregate at domain level only after identifying shared clinical or ChEMBL lineage.
EV_OT_DRUG_CANDIDATE_COUNT vs EV_OT_TRACTABILITY_AB,PARTIALLY_DEPENDENT,PARTIAL,Antibody tractability can include clinical-precedence evidence represented among platform drug/candidate records.,Do not double-count the same biologic development precedent.
EV_OT_DRUG_CANDIDATE_COUNT vs EV_OT_TRACTABILITY_PR,PARTIALLY_DEPENDENT,PARTIAL,PROTAC tractability and platform candidate records may share target-development precedent.,Require source-record lineage before treating these as separate support.
EV_OT_DRUG_CANDIDATE_COUNT vs EV_OT_TRACTABILITY_OC,PARTIALLY_DEPENDENT,PARTIAL,Other-clinical-modality tractability is explicitly related to clinical precedent and may overlap platform candidate records.,Do not count clinical precedence twice.
EV_OT_TRACTABILITY_AB vs EV_OT_TRACTABILITY_SM,DERIVED_FROM_SAME_SOURCE,HIGH,Both modality assessments are emitted by the same Open Targets tractability framework and target record.,Modality buckets answer different feasibility questions but are not independent datasets.
EV_OT_TRACTABILITY_PR vs EV_OT_TRACTABILITY_SM,DERIVED_FROM_SAME_SOURCE,HIGH,Both modality assessments are emitted by the same Open Targets tractability framework and can share underlying target properties.,Do not use the number of positive modalities as a project confidence score.
EV_OT_TRACTABILITY_OC vs EV_OT_TRACTABILITY_SM,DERIVED_FROM_SAME_SOURCE,HIGH,Both assessments come from the same source-native tractability object.,Keep modality-specific evidence descriptive rather than additive.
EV_OT_TRACTABILITY_AB vs EV_OT_TRACTABILITY_PR,DERIVED_FROM_SAME_SOURCE,HIGH,Both assessments come from the same target-level Open Targets tractability framework.,Do not count source buckets as independent validations.
EV_OT_TRACTABILITY_AB vs EV_OT_TRACTABILITY_OC,DERIVED_FROM_SAME_SOURCE,HIGH,Both assessments come from the same target-level Open Targets tractability framework.,Do not count source buckets as independent validations.
EV_OT_TRACTABILITY_PR vs EV_OT_TRACTABILITY_OC,DERIVED_FROM_SAME_SOURCE,HIGH,Both assessments come from the same target-level Open Targets tractability framework.,Do not count source buckets as independent validations.
EV_OT_SAFETY_LIABILITY vs EV_TCGA_DE_EFFECT,INDEPENDENT,NONE_IDENTIFIED,Open Targets curated safety-liability observations and TCGA tumour/normal expression are generated from different evidence processes and address different questions.,Independence of source lineage does not imply that either domain is sufficient or that absence of safety records means safety.
EV_OT_SAFETY_LIABILITY vs EV_OT_LUAD_DIRECT_ASSOCIATION,PARTIALLY_DEPENDENT,PARTIAL,The evidence types address different questions but are delivered through the same Open Targets release and may share literature or target annotations.,Check record-level datasource and publication overlap before claiming independent convergence.
EV_OT_SAFETY_LIABILITY vs EV_OT_TRACTABILITY_SM,PARTIALLY_DEPENDENT,PARTIAL,Safety and tractability are distinct assessment blocks but share the Open Targets target object and may reference overlapping pharmacology or literature.,Keep safety and tractability separate and avoid source-count inflation.
EV_GENETIC_CANCER vs EV_TCGA_DE_EFFECT,UNKNOWN,UNRESOLVED,Future genetic evidence could come from the same TCGA cases or from an independent cohort; the source has not yet been selected.,Set the relationship only after cohort/sample lineage is known.
EV_FUNCTIONAL_CRISPR_DEPENDENCY vs EV_TCGA_DE_EFFECT,INDEPENDENT,NONE_IDENTIFIED,A separately generated perturbational dependency experiment would use a distinct measurement process from bulk TCGA expression.,Confirm dataset and sample independence; biological lineage correlation is still possible.
EV_CLINICAL_TRIAL_DEVELOPMENT vs EV_OT_DRUG_CANDIDATE_COUNT,PARTIALLY_DEPENDENT,PARTIAL,Future trial records are likely to overlap drugs and development records already counted by Open Targets.,"Deduplicate interventions, trial identifiers, targets, and development events before aggregation."
EV_CLINICAL_TRIAL_DEVELOPMENT vs EV_OT_TRACTABILITY_SM,PARTIALLY_DEPENDENT,PARTIAL,Open Targets tractability can include clinical precedence that future trial evidence would directly represent.,Clinical precedence should contribute once at the clinical-development/tractability boundary.
EV_GENETIC_CANCER vs EV_OT_LUAD_DIRECT_ASSOCIATION,PARTIALLY_DEPENDENT,PARTIAL,"Open Targets disease association can include genetic evidence, so future cancer-genetics records may already contribute upstream.",Inspect Open Targets datasource scores and genetic record identifiers before treating genetics as new evidence.
EV_FUNCTIONAL_CRISPR_DEPENDENCY vs EV_OT_LUAD_DIRECT_ASSOCIATION,UNKNOWN,UNRESOLVED,Open Targets association inputs may or may not include the future functional dataset selected by this project.,Resolve datasource and dataset lineage before aggregation.
EV_CHEMBL_TARGET_ANNOTATION vs EV_CHEMBL_COMPOUND_TARGET,DERIVED_FROM_SAME_SOURCE,HIGH,Target annotations and future compound-target records are linked within the same ChEMBL release and identifier model.,"Target availability is metadata, not an additional independent pharmacology observation."
