requirement_id,requirement_category,applies_to,normative_level,requirement,scientific_rationale,validation_method,failure_action,frozen_provenance_basis
REL_ID_001,IDENTITY,PROFILE,MUST,EnsemblID is the only immutable entity/join key and must match the frozen included target-manifest value byte-for-byte.,Prevents identity drift and symbol joins.,Unique-key and exact-value comparison to target manifest.,WITHHOLD_RELEASE,Task #022 universe schema and Task #021 contract
REL_ID_002,IDENTITY,PROFILE,MUST,"profile_id uses EnsemblID, profile_version, evidence_snapshot_version, input_manifest_sha256, and rules_sha256 in the canonical formula.",A profile changes identity when evidence or rules change.,Recompute every profile_id.,WITHHOLD_RELEASE,Task #021 deterministic identity refined for explicit evidence snapshot
REL_ID_003,IDENTITY,RELEASE,MUST,release_id is content-derived from the complete frozen release configuration and cannot use randomness or wall time.,Makes the release reproducible and immutable.,Recompute release_id from canonical configuration.,WITHHOLD_RELEASE,Task #021 determinism contract
REL_ID_004,IDENTITY,PROFILE,MUST,Each EnsemblID has exactly one profile_id and exactly 11 unique component rows.,Prevents silent omission or duplication.,Cardinality and composite-key checks.,WITHHOLD_RELEASE,Task #021 cardinality contract
REL_VER_001,VERSIONING,PROFILE,MUST,"profile_version changes when schema, component semantics, or interpretation boundaries change.",Separates structural meaning from evidence updates.,Compare version manifest to schema/rule hashes.,WITHHOLD_RELEASE,Release identity model
REL_VER_002,VERSIONING,PROFILE,MUST,"evidence_snapshot_version is content-derived from ordered evidence artifacts, source versions, and query scopes.",Prevents two evidence snapshots sharing an ambiguous label.,Recompute snapshot version from evidence manifest.,WITHHOLD_RELEASE,Release identity model
REL_VER_003,VERSIONING,RELEASE,MUST,Prior released bundles are immutable; changed inputs or rules create a new release_id.,Preserves audit history.,Artifact-registry and hash comparison.,WITHHOLD_RELEASE,Task #018/Task #022 governance principles
REL_STR_001,STRUCTURE,COMPONENT,MUST,"Required fields are present, nonblank, and conform to controlled data types and sentinels.",Avoids silent information loss.,Schema validation.,WITHHOLD_RELEASE,profile_release_schema.csv
REL_STR_002,STRUCTURE,COMPONENT,MUST,"Optional annotations cannot affect joins, state resolution, ordering, or release eligibility.",Separates display from evidence meaning.,Static code/dataflow check plus mutation test.,WITHHOLD_RELEASE,Task #022 identifier policy
REL_STR_003,STRUCTURE,PROFILE,MUST_NOT,"No prohibited field, alias, derived equivalent, or hidden aggregation may appear in profile data or sidecars.",Prevents evidence organization becoming prioritization.,Header/schema scan and prohibited-derivation tests.,WITHHOLD_RELEASE,Task #020–#024 interpretation boundaries
REL_LIN_001,LINEAGE,COMPONENT,MUST,Every claim_id resolves to the same EnsemblID and an allowed component evidence domain.,Preserves bounded claim meaning.,Referential-integrity join by IDs only.,WITHHOLD_RELEASE,Task #021 evidence selection
REL_LIN_002,LINEAGE,COMPONENT,MUST,Every evidence_record_id resolves to a linked claim_id and source_entity_id.,Preserves atomic evidence lineage.,Referential-integrity validation.,WITHHOLD_RELEASE,Task #021 provenance propagation
REL_LIN_003,LINEAGE,COMPONENT,MUST,Records may be deduplicated only by identical record_id; reuse across components retains the same ID.,Prevents unsupported merging or double creation.,Record-ID uniqueness and reuse audit.,WITHHOLD_RELEASE,Task #021 evidence selection
REL_LIN_004,LINEAGE,COMPONENT,MUST,Artifact IDs are explicitly paired with hashes and include every registry needed to reconstruct lineage.,Makes provenance independently checkable.,Artifact resolution and hash verification.,WITHHOLD_RELEASE,Task #023 relational limitation
REL_DEP_001,DEPENDENCY,COMPONENT,MUST,dependency_edge_ids encode the exact induced graph among component evidence records.,Retains which record pair is dependent.,Recompute induced graph from frozen dependency registry.,WITHHOLD_RELEASE,Task #023 dependency limitation
REL_DEP_002,DEPENDENCY,COMPONENT,MUST,"Each dependency ID maps to its exact endpoints, relationship, level, and review status in the frozen graph.",Prevents lossy category-only dependency representation.,Edge-level referential validation.,WITHHOLD_RELEASE,Task #023 validation finding
REL_DEP_003,DEPENDENCY,COMPONENT,MUST_NOT,Absence of an edge cannot be emitted or interpreted as INDEPENDENT.,Unknown lineage is not independence.,Rule and output scan.,WITHHOLD_RELEASE,Task #021 dependency contract
REL_MIS_001,MISSINGNESS,COMPONENT,MUST,Every record has an explicit record_id=missingness mapping.,Preserves record-level meaning that set-like lists cannot encode.,Reconstruct and compare to frozen record registry.,WITHHOLD_RELEASE,Task #023 missingness limitation
REL_MIS_002,MISSINGNESS,COMPONENT,MUST,"OBSERVED, PARTIAL, MISSING, NOT_QUERIED, and CONFLICTING remain distinct component states.",Prevents missingness collapse.,Controlled-vocabulary and state-rule validation.,WITHHOLD_RELEASE,Task #021 state model
REL_MIS_003,MISSINGNESS,COMPONENT,MUST,MISSING requires completed defined query scope with no qualifying record and no unknown/failure.,Separates absence after assessment from non-acquisition.,Coverage manifest and rule predicate test.,WITHHOLD_RELEASE,Task #021 MISSING predicate
REL_MIS_004,MISSINGNESS,COMPONENT,MUST,NOT_QUERIED requires no eligible acquisition or valid assessment and cannot be inferred from zero/blank.,Preserves acquisition boundary.,Query-log and rule predicate test.,WITHHOLD_RELEASE,Task #021 NOT_QUERIED predicate
REL_MIS_005,MISSINGNESS,COMPONENT,MUST,"Conflicting records, IDs, and comparison rule are retained without choosing or averaging.",Preserves uncertainty and avoids hidden adjudication.,Conflict-record subset and rationale validation.,WITHHOLD_RELEASE,Task #021 CONFLICTING predicate
REL_PROV_001,PROVENANCE,RELEASE,MUST,"Generator ID, version, executable hash, rules version/hash, and serialization version are frozen before materialization.",Makes the computation identifiable.,Run-manifest preflight and postflight hash checks.,WITHHOLD_RELEASE,Task #021 run configuration
REL_PROV_002,PROVENANCE,COMPONENT,MUST,Every linked source has an explicit version; UNKNOWN prevents provenance_complete=TRUE.,Avoids unversioned evidence claims.,Source-version reconciliation.,WITHHOLD_RELEASE,Task #021 source contract
REL_PROV_003,PROVENANCE,RELEASE,MUST,"The release bundle includes or resolvably references the frozen target manifest, schema, rules, claims, records, sources, dependency graph, artifact manifest, QC, and session metadata.",A profile must remain reconstructible.,Release-bundle inventory check.,WITHHOLD_RELEASE,Task #023 relational validation
REL_RULE_001,RULES,RELEASE,MUST,"All 55 component/state predicates have executable, reviewed, versioned implementations tied to the frozen Task #021 semantic predicates.",Controlled prose alone cannot guarantee deterministic execution.,Unit/fixture tests and exact predicate-ID/hash mapping.,WITHHOLD_RELEASE,Task #023 representation limitation
REL_RULE_002,RULES,COMPONENT,MUST,"State precedence is CONFLICTING, OBSERVED, MISSING, PARTIAL, NOT_QUERIED and exactly one state resolves.",Makes resolution deterministic.,Precedence and mutual-resolution tests.,WITHHOLD_RELEASE,Task #021 state registry
REL_DET_001,DETERMINISM,RELEASE,MUST,"Identical frozen inputs, generator, rules, timestamp, and serialization produce byte-identical complete release bundles.",Enables reproducible recovery.,Independent clean regeneration and SHA256 comparison.,WITHHOLD_RELEASE,Task #021 and Task #023 determinism
REL_DET_002,DETERMINISM,COMPONENT,MUST,Target order follows the frozen manifest; component order follows the frozen registry; list values are unique and canonically ordered.,Prevents nondeterministic row/list order.,Canonical-order validation.,WITHHOLD_RELEASE,Task #021 canonical serialization
REL_DET_003,DETERMINISM,RELEASE,MUST_NOT,"Wall clock, locale, filesystem traversal, randomness, process ID, Symbol, or LLM output may influence profile bytes.",Removes non-reproducible inputs.,Environment mutation tests and static code review.,WITHHOLD_RELEASE,Task #021 deterministic contract
REL_QC_001,RELEASE_QC,RELEASE,MUST,"Identity, lineage, dependency, missingness, provenance, interpretation-safety, and regeneration gates all pass before status=RELEASED.",No partial release of an invalid bundle.,QC matrix completion and zero FAIL checks.,WITHHOLD_RELEASE,Task #023 validation domains
REL_QC_002,RELEASE_QC,RELEASE,MUST,Input hashes are verified before and after generation and output hashes are frozen only after canonical serialization.,Detects mid-run mutation.,Preflight/postflight hash comparison.,WITHHOLD_RELEASE,Task #021 QC contract
REL_INT_001,INTERPRETATION,PROFILE,MUST_NOT,"Component states or record counts may not be combined into a score, rank, priority, recommendation, overall state, or completeness percentage.",Prevents hidden prioritization.,"Schema, code, and output derivation audit.",WITHHOLD_RELEASE,Task #020–#024 non-inference rules
REL_INT_002,INTERPRETATION,PROFILE,MUST_NOT,OBSERVED may not be labeled favorable and MISSING/NOT_QUERIED may not be labeled unfavorable or negative.,Preserves missingness meaning.,Template and output text scan.,WITHHOLD_RELEASE,Task #021 interpretation boundary
REL_INT_003,INTERPRETATION,PROFILE,MUST_NOT,"Profiles may not assert causality, efficacy, safety, clinical benefit, therapeutic direction, or target recommendation.",Separates evidence organization from decision interpretation.,Controlled-language and prohibited-claim scan.,WITHHOLD_RELEASE,Task #019–#024 boundaries
