profile_section_id,profile_section,component_id,component_name,evidence_domains,evidence_types,allowed_states,decision_context,scientific_question,state_resolution_rule,required_provenance,dependency_boundary,missingness_boundary
SEC_BIOLOGICAL_DISCOVERY,Biological Discovery Profile,COMP_TRANSCRIPTOMIC_EVIDENCE,Transcriptomic evidence,DOM_TRANSCRIPTOMIC_DISCOVERY,EV_TCGA_DE_EFFECT|EV_TCGA_DE_SIGNIFICANCE|EV_TCGA_DE_ROBUSTNESS,OBSERVED|PARTIAL|MISSING|NOT_QUERIED|CONFLICTING,Biological Discovery,Is a LUAD tumour-associated expression alteration present and robust to the prespecified related models?,OBSERVED requires a traceable primary effect/significance record and its model-robustness state; material direction conflict resolves to CONFLICTING.,TCGA cohort|recount3/gencode_v26|final cohort|design/contrast|S0-S6 analysis versions|record IDs|artifact hashes,"Effect, significance, and S1-S6 robustness share the same TCGA cohort and are one dependent evidence family.",MISSING is absence after a defined assessment; NOT_QUERIED is no assessment. Neither is negative evidence.
SEC_BIOLOGICAL_DISCOVERY,Biological Discovery Profile,COMP_DISEASE_ASSOCIATION,Disease association,DOM_DISEASE_ASSOCIATION,EV_OT_LUAD_DIRECT_ASSOCIATION|EV_OT_LUAD_INDIRECT_ASSOCIATION|EV_OT_LITERATURE_COUNT,OBSERVED|PARTIAL|MISSING|NOT_QUERIED|CONFLICTING,Biological Discovery,What source-grounded evidence associates the target with LUAD or its ontology context?,OBSERVED requires at least one traceable source-native association record; indirect and literature views remain qualifiers rather than independent confirmation.,Open Targets release/API|target ID|LUAD disease ID|datasource and publication lineage|query|artifact hashes,"Direct, indirect, and literature views share the Open Targets platform and may reuse upstream records.",MISSING is absence after a defined assessment; NOT_QUERIED is no assessment. Neither is negative evidence.
SEC_BIOLOGICAL_DISCOVERY,Biological Discovery Profile,COMP_GENETIC_EVIDENCE,Genetic evidence,DOM_GENETIC_EVIDENCE,EV_GENETIC_CANCER,OBSERVED|PARTIAL|MISSING|NOT_QUERIED|CONFLICTING,Biological Discovery,Do inherited or tumour-acquired genetic observations support a LUAD-relevant biological relationship?,"Current state is NOT_QUERIED until a dedicated, provenance-complete genetic evidence task is available.",Source release|cohort|variant/alteration and gene IDs|disease definition|statistical model|sample overlap|artifact hashes,Future genetic evidence may share TCGA samples or already contribute to Open Targets association evidence.,MISSING is absence after a defined assessment; NOT_QUERIED is no assessment. Neither is negative evidence.
SEC_BIOLOGICAL_DISCOVERY,Biological Discovery Profile,COMP_FUNCTIONAL_DEPENDENCY,Functional dependency,DOM_FUNCTIONAL_DEPENDENCY,EV_FUNCTIONAL_CRISPR_DEPENDENCY,OBSERVED|PARTIAL|MISSING|NOT_QUERIED|CONFLICTING,Biological Discovery,Does controlled perturbation affect LUAD-relevant cancer-model fitness or function?,Current state is NOT_QUERIED until model-level perturbation evidence with screen QC and lineage is available.,Screen release|model/lineage|guide or perturbation reagent|effect definition|replicates|QC|artifact hashes,"Shared cell lines, guide libraries, or source screens must not be counted as independent experiments.",MISSING is absence after a defined assessment; NOT_QUERIED is no assessment. Neither is negative evidence.
SEC_THERAPEUTIC_DEVELOPMENT,Therapeutic Development Profile,COMP_PHARMACOLOGY,Pharmacology,DOM_PHARMACOLOGY,EV_CHEMBL_TARGET_ANNOTATION|EV_OT_DRUG_CANDIDATE_COUNT|EV_CHEMBL_COMPOUND_TARGET,OBSERVED|PARTIAL|MISSING|NOT_QUERIED|CONFLICTING,Therapeutic Development,"What source-grounded target annotations, compounds, activities, potency, selectivity, and mechanisms are available?",Target annotation or candidate counts alone resolve at most PARTIAL; OBSERVED requires qualifying compound-target evidence with assay/mechanism provenance.,Source release|target/compound/assay IDs|target confidence|activity value/unit|mechanism|query|artifact hashes,Open Targets drug records may reuse ChEMBL compounds and overlap tractability or clinical-precedence evidence.,MISSING is absence after a defined assessment; NOT_QUERIED is no assessment. Neither is negative evidence.
SEC_THERAPEUTIC_DEVELOPMENT,Therapeutic Development Profile,COMP_TRACTABILITY,Tractability,DOM_TRACTABILITY,EV_OT_TRACTABILITY_SM|EV_OT_TRACTABILITY_AB|EV_OT_TRACTABILITY_PR|EV_OT_TRACTABILITY_OC,OBSERVED|PARTIAL|MISSING|NOT_QUERIED|CONFLICTING,Therapeutic Development,Which explicitly defined therapeutic modalities have source-grounded feasibility assessments?,OBSERVED requires a traceable modality-specific assessment; multiple positive modalities remain one shared-framework component.,Open Targets release/API|target ID|modality|assessment/bucket IDs|upstream evidence|artifact hashes,All modality buckets share the Open Targets tractability framework and may reuse pharmacology or clinical precedent.,MISSING is absence after a defined assessment; NOT_QUERIED is no assessment. Neither is negative evidence.
SEC_THERAPEUTIC_DEVELOPMENT,Therapeutic Development Profile,COMP_SAFETY,Safety,DOM_SAFETY,EV_OT_SAFETY_LIABILITY,OBSERVED|PARTIAL|MISSING|NOT_QUERIED|CONFLICTING,Therapeutic Development,"What curated target-related safety liabilities are documented, and what risk evidence remains absent?",OBSERVED means a traceable liability observation exists; MISSING means no qualifying record after a defined query and never means safe.,Open Targets release/API|target/liability/datasource IDs|study/publication|context|query|artifact hashes,"Liability records can share datasource, study, publication, event, compound, or mechanism.",MISSING is absence after a defined assessment; NOT_QUERIED is no assessment. Neither is negative evidence.
SEC_THERAPEUTIC_DEVELOPMENT,Therapeutic Development Profile,COMP_CLINICAL_DEVELOPMENT,Clinical development evidence,DOM_CLINICAL_DEVELOPMENT,EV_CLINICAL_TRIAL_DEVELOPMENT,OBSERVED|PARTIAL|MISSING|NOT_QUERIED|CONFLICTING,Therapeutic Development,Has a traceably target-linked intervention reached human investigation in a defined disease context?,Current state is NOT_QUERIED until trial-level intervention-target-disease linkage is retrieved and validated.,Registry/version|trial/intervention/target/disease IDs|linkage basis|phase/status|retrieval time|artifact hashes,Trial records may overlap Open Targets candidate counts and tractability clinical-precedence assessments.,MISSING is absence after a defined assessment; NOT_QUERIED is no assessment. Neither is negative evidence.
SEC_TRANSLATIONAL,Translational Profile,COMP_HUMAN_EVIDENCE,Human evidence,DOM_GENETIC_EVIDENCE|DOM_CLINICAL_DEVELOPMENT,EV_GENETIC_CANCER|EV_CLINICAL_TRIAL_DEVELOPMENT,OBSERVED|PARTIAL|MISSING|NOT_QUERIED|CONFLICTING,Translational Context,What explicitly human-derived genetic or interventional evidence is available for the target hypothesis?,"OBSERVED requires at least one explicitly human-derived, provenance-complete record; ontology membership alone does not certify human relevance.",Human cohort or trial identity|target/variant/intervention IDs|disease context|source version|record IDs|artifact hashes,Genetic cohorts and trials may overlap source aggregators; records reused in other components retain the same identity.,MISSING is absence after a defined assessment; NOT_QUERIED is no assessment. Neither is negative evidence.
SEC_TRANSLATIONAL,Translational Profile,COMP_CLINICAL_LINKAGE,Clinical linkage,DOM_DISEASE_ASSOCIATION|DOM_PHARMACOLOGY|DOM_CLINICAL_DEVELOPMENT,EV_OT_LUAD_DIRECT_ASSOCIATION|EV_CHEMBL_COMPOUND_TARGET|EV_CLINICAL_TRIAL_DEVELOPMENT,OBSERVED|PARTIAL|MISSING|NOT_QUERIED|CONFLICTING,Translational Context,Can an intervention be traceably linked to the target and LUAD within a clinical-development record?,"OBSERVED requires record-level intervention-target-disease linkage; co-occurring target, drug, and trial counts resolve at most PARTIAL.",Target/disease/compound/intervention/trial IDs|linkage method|source versions|record lineage|artifact hashes,"Reusing association, compound, or trial records from other components does not create new evidence or independent support.",MISSING is absence after a defined assessment; NOT_QUERIED is no assessment. Neither is negative evidence.
SEC_TRANSLATIONAL,Translational Profile,COMP_RISK_CONTEXT,Risk context,DOM_SAFETY,EV_OT_SAFETY_LIABILITY,OBSERVED|PARTIAL|MISSING|NOT_QUERIED|CONFLICTING,Translational Context,What current target-liability evidence and unresolved translational risk are represented?,"The component state reflects the current safety-liability evidence state; maturity_description must separately state that risk characterization remains incomplete without normal-tissue, essentiality, exposure, and toxicology evidence.",Liability records|on/off-target attribution|human relevance|exposure context|source versions|artifact hashes,The same safety records can appear in therapeutic and translational views but remain one evidence lineage.,MISSING is absence after a defined assessment; NOT_QUERIED is no assessment. Neither is negative evidence.
