membership_rule_id,target_universe_id,target_universe_name,rule_order,resolved_membership_state,deterministic_condition,membership_source,membership_reason_template,unresolved_or_exclusion_boundary,annotation_handling,versioning_rule
TU_A_INCLUDED,ALL_TESTED_GENES,All tested genes,1,INCLUDED,EnsemblID exists uniquely in both frozen Task #008 and Task #012 registries; values and order match; declared all-tested field equals TRUE.,"outputs/candidate_registry/candidate_registry.csv:EnsemblID,U0_tested plus outputs/integrated_registry/integrated_target_registry.csv:EnsemblID,U0_tested",Present in the frozen tested-gene registry under the declared all-tested rule.,A resolved FALSE value may support EXCLUDED only if the universe definition explicitly declares the field as its boundary.,Exact Symbol and gene_type may be copied after EnsemblID validation; they never affect the join.,"Create a new target_universe_version if the universe definition, source artifact hashes, membership rules, or generator hash changes; never overwrite prior membership."
TU_A_EXCLUDED,ALL_TESTED_GENES,All tested genes,2,EXCLUDED,Entity is present in the governed source ledger but the explicitly declared all-tested field equals FALSE.,Versioned all-tested source artifact and declared Boolean field,Outside this version's declared all-tested scope.,This is a scope statement and does not assert lack of biological interest.,Annotations remain display-only.,"Create a new target_universe_version if the universe definition, source artifact hashes, membership rules, or generator hash changes; never overwrite prior membership."
TU_A_NOT_ASSESSED,ALL_TESTED_GENES,All tested genes,3,NOT_ASSESSED,"Entity is in the governed ledger but the declared all-tested value is missing, invalid, or cannot be evaluated without manual inference.",Versioned all-tested source artifact and validation record,All-tested membership could not be resolved from the frozen source.,A data-integrity failure must remain unresolved or stop release; it cannot be coerced to EXCLUDED.,No annotation repair is permitted.,"Create a new target_universe_version if the universe definition, source artifact hashes, membership rules, or generator hash changes; never overwrite prior membership."
TU_B_INCLUDED,DE_SUPPORTED_GENES,DE-supported genes,1,INCLUDED,The universe definition names one exact frozen Boolean DE membership field and that field equals TRUE for the immutable EnsemblID.,outputs/candidate_registry/candidate_registry.csv:DECLARED_DE_LAYER_FIELD,Meets the exact frozen DE-layer membership definition named by this universe version.,The framework does not choose between U1_DE and U2_effect_supported_DE; that choice requires an explicit versioned scientific definition.,Symbol and gene_type are copied only after EnsemblID membership resolution.,"Create a new target_universe_version if the universe definition, source artifact hashes, membership rules, or generator hash changes; never overwrite prior membership."
TU_B_EXCLUDED,DE_SUPPORTED_GENES,DE-supported genes,2,EXCLUDED,The exact declared DE membership field equals FALSE.,outputs/candidate_registry/candidate_registry.csv:DECLARED_DE_LAYER_FIELD,Outside the declared DE-supported universe scope.,FALSE is not evidence that the gene is biologically unimportant or unsuitable for therapy.,Annotations do not alter the state.,"Create a new target_universe_version if the universe definition, source artifact hashes, membership rules, or generator hash changes; never overwrite prior membership."
TU_B_NOT_ASSESSED,DE_SUPPORTED_GENES,DE-supported genes,3,NOT_ASSESSED,"The declared DE membership field is absent, invalid, or not frozen in the version definition.",Versioned universe configuration and candidate registry validation,DE-supported membership was not resolvable under the frozen definition.,A missing definition is not interpreted as FALSE and blocks an executable universe release.,No symbol-based recovery is allowed.,"Create a new target_universe_version if the universe definition, source artifact hashes, membership rules, or generator hash changes; never overwrite prior membership."
TU_C_INCLUDED,EVIDENCE_PROFILED_ENTITIES,Evidence-profiled entities,1,INCLUDED,"A released Task #021-compatible profile exists for the immutable EnsemblID and passes all profile cardinality, provenance, input-hash, and output-hash checks.",Governed profile artifact plus profile QC and frozen Task #021 contract,A validated evidence profile artifact exists for this entity.,INCLUDED describes successful materialization only; profile completeness and component states do not determine membership.,Profile and universe annotations must resolve to the same exact EnsemblID.,"Create a new target_universe_version if the universe definition, source artifact hashes, membership rules, or generator hash changes; never overwrite prior membership."
TU_C_EXCLUDED,EVIDENCE_PROFILED_ENTITIES,Evidence-profiled entities,2,EXCLUDED,"A versioned profile run scope explicitly excludes the entity under a neutral, prespecified operational boundary.",Frozen profile-run target manifest and rule ID,Outside this version's declared profile-materialization scope.,"Lack of evidence, a MISSING component, or an unfavorable interpretation can never cause this state.",Annotations remain unchanged.,"Create a new target_universe_version if the universe definition, source artifact hashes, membership rules, or generator hash changes; never overwrite prior membership."
TU_C_NOT_ASSESSED,EVIDENCE_PROFILED_ENTITIES,Evidence-profiled entities,3,NOT_ASSESSED,"No released, QC-passing profile exists for the entity in this universe version.",Governed profile release manifest and QC artifact,No validated profile was materialized for this entity in the frozen scope.,"Not profiled is not no evidence, negative evidence, or low value.",No profile membership may be inferred from Symbol.,"Create a new target_universe_version if the universe definition, source artifact hashes, membership rules, or generator hash changes; never overwrite prior membership."
TU_D_FUTURE_SCOPE,FUTURE_THERAPEUTIC_DEVELOPMENT_UNIVERSE,Future therapeutic development universe,1,FUTURE_SCOPE,"No scientifically approved, versioned membership definition exists in Task #022.",Future governed universe definition not supplied,Membership criteria are intentionally deferred to a future version.,"No current tractability, drug, clinical, safety, profile, or DE field may be used as an implicit filter.",Annotations cannot substitute for the missing definition.,"Create a new target_universe_version if the universe definition, source artifact hashes, membership rules, or generator hash changes; never overwrite prior membership."
TU_VERSION_EVOLUTION,ALL_UNIVERSES,All universe definitions,1,FUTURE_SCOPE,A proposed entity or definition belongs to a later scope not represented by the frozen version.,New governed source artifact and new universe configuration,Recorded for consideration in a future target-universe version.,The existing universe is immutable; evolution creates a new version and never overwrites old membership.,New annotations require source provenance and cannot alter historical rows.,"Create a new target_universe_version if the universe definition, source artifact hashes, membership rules, or generator hash changes; never overwrite prior membership."
