feature_definition_id,feature_name,feature_category,data_type,allowed_values,state_input,source_roles,extraction_rule_id,extractor_version,deterministic_extraction_rule,feature_missingness_rule,provenance_mode,empty_set_rule,interpretation_boundary
DAF_ASSESSMENT_ATTEMPTED_V0_1,disease_association_assessment_attempted,EVIDENCE_AVAILABILITY,BOOLEAN,TRUE|FALSE,TRUE,ROLE_QUERY_SCOPE_RECORD,DAR_ASSESSMENT_ATTEMPTED_V0_1,DISEASE_ASSOCIATION_FEATURE_EXTRACTOR_V0.1,Copy the validated assessment_attempted Boolean from the entity coverage ledger.,OBSERVED when the query-scope ledger row is valid; otherwise UNKNOWN.,SCOPE_ONLY,NOT_APPLICABLE_NON_SET_FEATURE,"Structural availability/audit representation only; not association strength, biological importance, target quality, or therapeutic meaning."
DAF_QUERY_SCOPE_COMPLETE_V0_1,disease_association_query_scope_complete,EVIDENCE_AVAILABILITY,BOOLEAN,TRUE|FALSE,TRUE,ROLE_QUERY_SCOPE_RECORD,DAR_QUERY_SCOPE_COMPLETE_V0_1,DISEASE_ASSOCIATION_FEATURE_EXTRACTOR_V0.1,TRUE only when the frozen snapshot and per-entity coverage ledger both declare complete retrieval scope.,OBSERVED when completion is resolved; otherwise UNKNOWN.,SCOPE_ONLY,NOT_APPLICABLE_NON_SET_FEATURE,"Structural availability/audit representation only; not association strength, biological importance, target quality, or therapeutic meaning."
DAF_RECORD_AVAILABILITY_V0_1,disease_association_record_availability,EVIDENCE_AVAILABILITY,CONTROLLED_STRING,RECORDS_PRESENT|NO_RECORDS_RETURNED|NOT_QUERIED|UNKNOWN,TRUE,ROLE_QUERY_SCOPE_RECORD|ROLE_DISEASE_ASSOCIATION_RECORD,DAR_RECORD_AVAILABILITY_V0_1,DISEASE_ASSOCIATION_FEATURE_EXTRACTOR_V0.1,RECORDS_PRESENT when at least one reconciled in-scope record exists; NO_RECORDS_RETURNED after a complete attempted query with zero records; otherwise preserve NOT_QUERIED or UNKNOWN.,The availability result itself is OBSERVED when resolved; UNKNOWN otherwise.,SCOPE_AND_RECORDS,NOT_APPLICABLE_NON_SET_FEATURE,"Structural availability/audit representation only; not association strength, biological importance, target quality, or therapeutic meaning."
DAF_RECORD_COUNT_V0_1,disease_association_record_count,STRUCTURAL_RECORD,NON_NEGATIVE_INTEGER_AUDIT_METADATA,INTEGER_GE_0,TRUE,ROLE_QUERY_SCOPE_RECORD|ROLE_DISEASE_ASSOCIATION_RECORD,DAR_RECORD_COUNT_V0_1,DISEASE_ASSOCIATION_FEATURE_EXTRACTOR_V0.1,"Count distinct (source_dataset, source_record_id) identities after exact-duplicate reconciliation; never treat the count as support or confidence.","OBSERVED for a complete attempted query, including zero; otherwise UNKNOWN or NOT_QUERIED.",SCOPE_AND_RECORDS,NOT_APPLICABLE_NON_SET_FEATURE,"Structural availability/audit representation only; not association strength, biological importance, target quality, or therapeutic meaning."
DAF_RECORD_ROLE_SET_V0_1,disease_association_record_role_set,STRUCTURAL_RECORD,CANONICAL_JSON_STRING_ARRAY,ROLE_DISEASE_ASSOCIATION_RECORD,FALSE,ROLE_DISEASE_ASSOCIATION_RECORD,DAR_RECORD_ROLE_SET_V0_1,DISEASE_ASSOCIATION_FEATURE_EXTRACTOR_V0.1,Emit the canonically sorted registered roles represented by returned raw association records.,OBSERVED with records; NOT_FOUND after a completed zero-record query.,RECORDS_OR_SCOPE,Serialize [] with NOT_FOUND when no association record was returned.,"Structural availability/audit representation only; not association strength, biological importance, target quality, or therapeutic meaning."
DAF_RECORD_GRANULARITY_SET_V0_1,disease_association_record_granularity_set,STRUCTURAL_RECORD,CANONICAL_JSON_STRING_ARRAY,SOURCE_ATOMIC|SOURCE_AGGREGATE|MIXED|UNKNOWN,FALSE,ROLE_DISEASE_ASSOCIATION_RECORD,DAR_RECORD_GRANULARITY_SET_V0_1,DISEASE_ASSOCIATION_FEATURE_EXTRACTOR_V0.1,"Emit [""UNKNOWN""] because the frozen Open Targets snapshot does not expose a reviewed record-level granularity field; do not infer atomicity from row count.",UNKNOWN with records until source-specific granularity is governed; NOT_FOUND with zero records.,RECORDS_OR_SCOPE,Serialize [] with NOT_FOUND when no association record was returned.,"Structural availability/audit representation only; not association strength, biological importance, target quality, or therapeutic meaning."
DAF_SOURCE_EVIDENCE_TYPE_SET_V0_1,disease_association_source_evidence_type_id_set,STRUCTURAL_RECORD,CANONICAL_JSON_STRING_ARRAY,SOURCE_NATIVE_DATATYPE_ID_STRINGS,FALSE,ROLE_DISEASE_ASSOCIATION_RECORD,DAR_SOURCE_EVIDENCE_TYPE_SET_V0_1,DISEASE_ASSOCIATION_FEATURE_EXTRACTOR_V0.1,Extract source-native datatypeId strings from every contributing raw record and serialize the unique values in lexical order.,OBSERVED when every record supplies datatypeId; UNKNOWN if any is unresolved; NOT_FOUND with zero records.,RECORDS_OR_SCOPE,Serialize [] with NOT_FOUND when no association record was returned.,"Structural availability/audit representation only; not association strength, biological importance, target quality, or therapeutic meaning."
DAF_SOURCE_DISEASE_ID_SET_V0_1,disease_association_source_disease_id_set,STRUCTURAL_RECORD,CANONICAL_JSON_STRING_ARRAY,SOURCE_NATIVE_DISEASE_ID_STRINGS,FALSE,ROLE_DISEASE_ASSOCIATION_RECORD|ROLE_DISEASE_CONTEXT_MAPPING,DAR_SOURCE_DISEASE_ID_SET_V0_1,DISEASE_ASSOCIATION_FEATURE_EXTRACTOR_V0.1,Serialize unique source_disease_id values from all contributing raw records in lexical order.,OBSERVED with records; NOT_FOUND with zero records; UNKNOWN if a record identity is unresolved.,RECORDS_OR_SCOPE,Serialize [] with NOT_FOUND when no association record was returned.,"Structural availability/audit representation only; not association strength, biological importance, target quality, or therapeutic meaning."
DAF_SOURCE_TARGET_ID_SET_V0_1,disease_association_source_target_id_set,STRUCTURAL_RECORD,CANONICAL_JSON_STRING_ARRAY,SOURCE_NATIVE_TARGET_ID_STRINGS,FALSE,ROLE_DISEASE_ASSOCIATION_RECORD|ROLE_TARGET_IDENTITY_MAPPING,DAR_SOURCE_TARGET_ID_SET_V0_1,DISEASE_ASSOCIATION_FEATURE_EXTRACTOR_V0.1,Serialize unique source_target_id values from all contributing raw records in lexical order.,OBSERVED with records; NOT_FOUND with zero records; UNKNOWN if a record identity is unresolved.,RECORDS_OR_SCOPE,Serialize [] with NOT_FOUND when no association record was returned.,"Structural availability/audit representation only; not association strength, biological importance, target quality, or therapeutic meaning."
DAF_DISEASE_MAPPING_STATUS_V0_1,disease_context_mapping_status,MAPPING_STRUCTURE,CONTROLLED_STRING,RESOLVED|NOT_REQUIRED|UNRESOLVED|CONFLICTING|UNKNOWN,TRUE,ROLE_DISEASE_CONTEXT_MAPPING,DAR_DISEASE_MAPPING_STATUS_V0_1,DISEASE_ASSOCIATION_FEATURE_EXTRACTOR_V0.1,RESOLVED only when every retained record and the frozen disease entity use exact MONDO_0005061 under the exact-only context rule.,"OBSERVED when mapping status is deterministically resolved, including a controlled unresolved/conflicting status.",SCOPE_ONLY,NOT_APPLICABLE_NON_SET_FEATURE,"Structural availability/audit representation only; not association strength, biological importance, target quality, or therapeutic meaning."
