rule_id,rule_category,applies_to,permitted_description,prohibited_conclusion,required_handling,provenance_basis
RULE_STATE_OBSERVED,STATE,OBSERVED,Qualifying evidence records are present under the component criterion with traceable provenance.,A favorable biological or therapeutic conclusion.,"Retain bounded claim, record, source, uncertainty, and dependency identifiers.",Task #013 ontology and independence map|Task #014 claims/records/dependencies|Task #018 hashes|Task #019 interpretation boundaries
RULE_STATE_PARTIAL,STATE,PARTIAL,"Some relevant evidence or metadata is present but coverage, linkage, quality characterization, or provenance remains incomplete.","Half-support, intermediate quality, or a numerical midpoint.",State exactly which evidence or provenance elements remain incomplete.,Task #013 ontology and independence map|Task #014 claims/records/dependencies|Task #018 hashes|Task #019 interpretation boundaries
RULE_STATE_MISSING,STATE,MISSING,A defined and completed assessment found no qualifying evidence for the component.,"Absence of the biological property, lack of potential, safety, or unfavorable evidence.","Preserve queried sources, scope, NOT_FOUND records, date, and coverage limitations.",Task #013 ontology and independence map|Task #014 claims/records/dependencies|Task #018 hashes|Task #019 interpretation boundaries
RULE_STATE_NOT_QUERIED,STATE,NOT_QUERIED,The component has not been acquired or could not be queried under the defined identifier/source requirements.,A negative result or an assumption that no evidence exists.,Record why it was not queried and what source/query would be required.,Task #013 ontology and independence map|Task #014 claims/records/dependencies|Task #018 hashes|Task #019 interpretation boundaries
RULE_STATE_CONFLICTING,STATE,CONFLICTING,Materially incompatible observations exist under a prespecified comparison rule.,"Permission to average away, delete, or choose the preferred record.","Retain every conflicting record, provenance chain, comparison rule, and unresolved interpretation.",Task #013 ontology and independence map|Task #014 claims/records/dependencies|Task #018 hashes|Task #019 interpretation boundaries
RULE_AVAILABILITY,CAN_DESCRIBE,ALL_COMPONENTS,"Which evidence types and records are observed, partial, missing, not queried, or conflicting.",Target quality or therapeutic merit.,Report states by component without cross-component arithmetic.,Task #013 ontology and independence map|Task #014 claims/records/dependencies|Task #018 hashes|Task #019 interpretation boundaries
RULE_MATURITY,CAN_DESCRIBE,PROFILE,Which components are sufficiently characterized for bounded interpretation and which remain immature or unresolved.,"Development stage, target quality, or probability of success.","Use qualitative text tied to component states, provenance, and missingness; do not compute completeness percentages.",Task #013 ontology and independence map|Task #014 claims/records/dependencies|Task #018 hashes|Task #019 interpretation boundaries
RULE_UNCERTAINTY,CAN_DESCRIBE,PROFILE,"Known source, coverage, temporal, conflict, and dependency uncertainties.",A numerical confidence value or penalty.,Preserve Task #014 categories and record-specific explanations.,Task #013 ontology and independence map|Task #014 claims/records/dependencies|Task #018 hashes|Task #019 interpretation boundaries
RULE_MISSING_NOT_NEGATIVE,BOUNDARY,MISSING|NOT_QUERIED,The current profile lacks qualifying evidence or acquisition.,"Negative biological evidence, lack of druggability, lack of clinical potential, or safety.",Keep source-specific missingness and query coverage explicit.,Task #013 ontology and independence map|Task #014 claims/records/dependencies|Task #018 hashes|Task #019 interpretation boundaries
RULE_QUANTITY_NOT_QUALITY,BOUNDARY,EVIDENCE_RECORD_COUNT,How many atomic records are linked for audit purposes.,"Evidence quality, strength, confidence, or independent convergence.",Assess study/assay quality and provenance separately; never use counts as a proxy.,Task #013 ontology and independence map|Task #014 claims/records/dependencies|Task #018 hashes|Task #019 interpretation boundaries
RULE_DEPENDENCY_NOT_VOTES,BOUNDARY,DEPENDENT_RECORDS,"Known shared source, dataset, publication, compound, trial, or unresolved lineage.",Multiple independent confirmations.,Reuse stable record IDs and dependency edges across every component view.,Task #013 ontology and independence map|Task #014 claims/records/dependencies|Task #018 hashes|Task #019 interpretation boundaries
RULE_COMPLETENESS_NOT_QUALITY,BOUNDARY,PROFILE,How many components have characterized states and provenance.,"Target quality, biological importance, clinical readiness, or development merit.",Do not calculate or expose an aggregate completeness score or percentage.,Task #013 ontology and independence map|Task #014 claims/records/dependencies|Task #018 hashes|Task #019 interpretation boundaries
RULE_NO_AGGREGATION,BOUNDARY,PROFILE,A structured collection of component states and provenance.,"An additive, weighted, ordinal, or hidden composite assessment.",Present the component grid and unresolved evidence directly; no aggregation formula.,Task #013 ontology and independence map|Task #014 claims/records/dependencies|Task #018 hashes|Task #019 interpretation boundaries
RULE_NO_CAUSALITY,CANNOT_ESTABLISH,PROFILE,Associative and mechanistic evidence availability.,Biological or disease causality.,Require dedicated genetic and controlled perturbational validation with independent lineage.,Task #013 ontology and independence map|Task #014 claims/records/dependencies|Task #018 hashes|Task #019 interpretation boundaries
RULE_NO_EFFICACY,CANNOT_ESTABLISH,PROFILE,"Pharmacology, tractability, and development evidence availability.",Drug or modality efficacy.,"Require target engagement, disease-model efficacy, exposure, and appropriately designed clinical evidence.",Task #013 ontology and independence map|Task #014 claims/records/dependencies|Task #018 hashes|Task #019 interpretation boundaries
RULE_NO_SAFETY,CANNOT_ESTABLISH,PROFILE,Known safety-liability evidence and missing risk domains.,"Safety, acceptable therapeutic window, or absence of toxicity.","Require exposure-contextualized on/off-target toxicology, normal-tissue, essentiality, and human safety evidence.",Task #013 ontology and independence map|Task #014 claims/records/dependencies|Task #018 hashes|Task #019 interpretation boundaries
