field_order,field_name,data_type,required,allowed_values,source_or_derivation,definition,validation_rule,interpretation_boundary
1,EnsemblID,STRING,TRUE,NONEMPTY_VERSIONED_ENSEMBL_GENE_ID,Frozen source registry,Only immutable entity and join key.,Unique within one target_universe_id and target_universe_version manifest; exact source value preserved.,"No symbol, base ID, or external identifier may replace it."
2,target_universe_id,STRING,TRUE,VERSIONED_CONTROLLED_UNIVERSE_ID,Frozen universe definition,Stable identifier for the universe definition family.,One value per manifest snapshot.,An identifier labels scope; it does not imply scientific merit.
3,target_universe_version,STRING,TRUE,CONTENT_DERIVED_VERSION,"Definition, source hashes, rule hash, and generator hash",Immutable version of one universe snapshot.,"Must change if the definition, source artifacts, membership rules, or generator changes.",Versions record evolution and are not ordered by target quality.
4,target_order,INTEGER,TRUE,UNIQUE_POSITIVE_INTEGER,Frozen source order,Deterministic row order passed to Task #021 for included entities.,Unique and contiguous within one manifest; never derived from evidence strength.,"Row order is serialization metadata, not an ordering of scientific value."
5,membership_state,CATEGORY,TRUE,INCLUDED|EXCLUDED|NOT_ASSESSED|FUTURE_SCOPE,Deterministic membership rule,Entity state relative to this exact universe scope.,Exactly one controlled state per EnsemblID.,"EXCLUDED means outside scope, not biologically unfavorable."
6,membership_rule_id,STRING,TRUE,CONTROLLED_NONEMPTY_RULE_ID,Versioned rule registry,Exact deterministic rule that resolved membership.,Must resolve in the frozen rule set for this universe version.,A rule establishes membership only and cannot encode therapeutic judgment.
7,membership_source,STRING,TRUE,NONEMPTY_ARTIFACT_AND_FIELD_REFERENCE,Frozen source artifact,Machine-readable source path and field or governed event used by the rule.,No free-text or symbol-based fallback source.,Source presence is not evidence quality.
8,membership_reason,STRING,TRUE,CONTROLLED_REASON_TEMPLATE_OUTPUT,Versioned membership rule,Neutral explanation of why the membership condition resolved.,Generated from a fixed template using governed values.,"Reasons cannot assert importance, low value, druggability, or clinical relevance."
9,source_artifact_id,PIPE_DELIMITED_ID_LIST,TRUE,TASK018_STYLE_ARTIFACT_IDS,Frozen membership-source manifest,Governed artifacts that support the membership decision.,"Unique, lexically sorted IDs; NONE forbidden for a resolved decision.","Artifact identity is provenance, not biological support."
10,source_artifact_sha256,PIPE_DELIMITED_SHA256_LIST,TRUE,64_CHARACTER_SHA256_VALUES,Frozen membership-source manifest,Content hashes aligned to source_artifact_id.,Every source artifact ID has exactly one verified hash.,"A hash proves content identity, not scientific validity."
11,membership_timestamp,DATETIME,TRUE,FROZEN_ISO8601_UTC,Frozen universe run configuration,Timestamp of the governed membership snapshot.,Copied from configuration; never read from wall clock during row generation.,Recency does not imply improved evidence or relevance.
12,inclusion_timestamp,DATETIME_OR_SENTINEL,TRUE,FROZEN_ISO8601_UTC|NOT_APPLICABLE,Membership state and frozen configuration,Snapshot time for INCLUDED rows; explicit sentinel otherwise.,Equals membership_timestamp only for INCLUDED; NOT_APPLICABLE for all other states.,"This field records entry into scope, not discovery or biological timing."
13,exclusion_reason,STRING,TRUE,CONTROLLED_REASON|NOT_APPLICABLE,Versioned membership rule,Neutral scope reason for EXCLUDED rows; explicit sentinel otherwise.,Required for EXCLUDED and NOT_APPLICABLE for other states.,Exclusion never means biologically bad or uninteresting.
14,annotation_status,CATEGORY,TRUE,PRESENT|PARTIAL|MISSING|NOT_APPLICABLE,Exact annotation-copy validation,Availability state for permitted display annotations.,Cannot affect membership unless a future universe definition explicitly governs that annotation as a scope variable.,Annotation absence cannot trigger manual identifier inference.
15,Symbol,STRING,TRUE,SOURCE_VALUE|NOT_FOUND,Exact copy from frozen source,Optional human-readable display annotation.,"Never joined, repaired, or used as a fallback identifier.",Symbols may change and are not entity identity.
16,gene_type,STRING,TRUE,SOURCE_VALUE|NOT_FOUND,Exact copy from frozen source,Optional source-provided gene-type annotation.,Copied without recoding; any future scope use must be explicit and versioned.,Gene type alone does not imply druggability or relevance.
17,generated_by,STRING,TRUE,VERSIONED_GENERATOR_PATH_AND_SHA256,Frozen universe run configuration,Generator identity used for this manifest.,Exact path and script hash are required.,Generator identity does not validate scientific meaning.
